Month,Date,Stock,Liquidated_Qty,Liquidated_Amount,Reason,Remaining_Qty,Portfolio_Value_After
Feb 2018,2018-02-28,FINPIPE.NS,4.978992,650.36,Not in good list (full),0.0,1494.94
Mar 2018,2018-03-28,PIDILITIND.NS,32.26327,14805.61,Not in good list (full),0.0,42975.31
Apr 2018,2018-04-30,SONATSOFTW.NS,173.559981,23345.99,Not in good list (full),0.0,19381.25
Apr 2018,2018-04-30,MRF.NS,0.252973,20221.01,Not in good list (full),0.0,19381.25
May 2018,2018-05-31,CEATLTD.NS,7.693753,10477.74,Not in good list (full),0.0,19605.0
May 2018,2018-05-31,AARTIIND.NS,51.629805,15613.18,Not in good list (full),0.0,19605.0
May 2018,2018-05-31,CANFINHOME.NS,6.887613,2609.37,Not in good list (full),0.0,19605.0
May 2018,2018-05-31,JKTYRE.NS,68.00967,9133.7,Not in good list (full),0.0,19605.0
Jun 2018,2018-06-29,APLAPOLLO.NS,96.861493,16045.11,Not in good list (full),0.0,36089.26
Aug 2018,2018-08-31,NAVINFLUOR.NS,32.244441,22209.97,Not in good list (full),0.0,24191.29
Aug 2018,2018-08-31,HERITGFOOD.NS,37.183747,11675.84,Not in good list (full),0.0,24191.29
Sep 2018,2018-09-28,NAUKRI.NS,30.838927,8777.68,Not in good list (full),0.0,25492.85
Sep 2018,2018-09-28,IGL.NS,54.035746,6563.99,Not in good list (full),0.0,25492.85
Sep 2018,2018-09-28,KNRCON.NS,74.539847,6643.36,Not in good list (full),0.0,25492.85
Nov 2018,2018-11-30,BAJFINANCE.NS,120.247235,30515.14,Not in good list (full),0.0,10517.4
Nov 2018,2018-11-30,NILKAMAL.NS,2.850166,4396.81,Not in good list (full),0.0,10517.4
Nov 2018,2018-11-30,IIFL.NS,13.744759,3598.18,Not in good list (full),0.0,10517.4
Dec 2018,2018-12-31,KPRMILL.NS,81.825029,9169.31,Not in good list (full),0.0,31808.28
Dec 2018,2018-12-31,DCAL.NS,41.877049,9654.75,Not in good list (full),0.0,31808.28
