Date,Portfolio_Value,Bank,Equity
2016-10-03,38488.76,0.0,38488.76
2016-10-04,39074.93,0.0,39074.93
2016-10-05,38955.72,0.0,38955.72
2016-10-06,38930.22,0.0,38930.22
2016-10-07,39105.6,0.0,39105.6
2016-10-10,39163.3,0.0,39163.3
2016-10-13,38865.9,0.0,38865.9
2016-10-14,40369.56,0.0,40369.56
2016-10-17,40522.18,0.0,40522.18
2016-10-18,40541.24,0.0,40541.24
2016-10-19,40532.43,0.0,40532.43
2016-10-20,40814.62,0.0,40814.62
2016-10-21,40746.05,0.0,40746.05
2016-10-24,41198.66,0.0,41198.66
2016-10-25,41176.93,0.0,41176.93
2016-10-26,40671.15,0.0,40671.15
2016-10-27,40171.5,0.0,40171.5
2016-10-28,40903.8,0.0,40903.8
2016-11-01,41208.6,0.0,41208.6
2016-11-02,40594.18,0.0,40594.18
2016-11-03,40143.57,0.0,40143.57
2016-11-04,38668.14,0.0,38668.14
2016-11-07,38633.58,0.0,38633.58
2016-11-08,38350.16,0.0,38350.16
2016-11-09,37522.56,0.0,37522.56
2016-11-10,38130.75,0.0,38130.75
2016-11-11,35578.72,0.0,35578.72
2016-11-15,29643.33,0.0,29643.33
2016-11-16,32001.78,0.0,32001.78
2016-11-17,31794.78,0.0,31794.78
2016-11-18,34216.75,0.0,34216.75
2016-11-21,34436.14,0.0,34436.14
2016-11-22,34728.85,0.0,34728.85
2016-11-23,34613.29,0.0,34613.29
2016-11-24,34359.79,0.0,34359.79
2016-11-25,34826.63,0.0,34826.63
2016-11-28,34863.6,0.0,34863.6
2016-11-29,37482.93,0.0,37482.93
2016-11-30,38132.31,0.0,38132.31
2016-12-01,37985.38,0.0,37985.38
2016-12-02,36896.07,0.0,36896.07
2016-12-05,37097.29,0.0,37097.29
2016-12-06,37570.18,0.0,37570.18
2016-12-07,37531.7,0.0,37531.7
2016-12-08,38011.98,0.0,38011.98
2016-12-09,38038.73,0.0,38038.73
2016-12-12,37153.66,0.0,37153.66
2016-12-13,36561.36,0.0,36561.36
2016-12-14,36267.48,0.0,36267.48
2016-12-15,37331.97,0.0,37331.97
2016-12-16,38015.94,0.0,38015.94
2016-12-19,38070.79,0.0,38070.79
2016-12-20,37537.56,0.0,37537.56
2016-12-21,37055.36,0.0,37055.36
2016-12-22,36551.21,0.0,36551.21
2016-12-23,36080.72,0.0,36080.72
2016-12-26,33312.3,0.0,33312.3
2016-12-27,33601.17,0.0,33601.17
2016-12-28,34162.55,0.0,34162.55
2016-12-29,33767.81,0.0,33767.81
2016-12-30,35710.75,0.0,35710.75
2017-01-02,37031.53,0.0,37031.53
2017-01-03,37132.21,0.0,37132.21
2017-01-04,37311.94,0.0,37311.94
2017-01-05,37647.68,0.0,37647.68
2017-01-06,38110.65,0.0,38110.65
2017-01-09,38314.52,0.0,38314.52
2017-01-10,37855.69,0.0,37855.69
2017-01-11,37833.94,0.0,37833.94
2017-01-12,37823.18,0.0,37823.18
2017-01-13,37473.68,0.0,37473.68
2017-01-16,38477.42,0.0,38477.42
2017-01-17,38150.37,0.0,38150.37
2017-01-18,38136.66,0.0,38136.66
2017-01-19,37752.36,0.0,37752.36
2017-01-20,37692.84,0.0,37692.84
2017-01-23,38048.84,0.0,38048.84
2017-01-24,38427.28,0.0,38427.28
2017-01-25,38492.59,0.0,38492.59
2017-01-27,39011.89,0.0,39011.89
2017-01-30,40199.05,0.0,40199.05
2017-01-31,40710.62,0.0,40710.62
2017-02-01,41545.18,0.0,41545.18
2017-02-02,43471.38,0.0,43471.38
2017-02-03,43532.8,0.0,43532.8
2017-02-06,44473.19,0.0,44473.19
