Month,Date,Selected_Tickers,Holdings_Count,Total_Liquidated,Stocks_Affected
Nov 2022,2022-11-30,6,23,0.0,0
Dec 2022,2022-12-30,6,24,1305.46,1
Jan 2023,2023-01-31,6,26,5511.9,5
Feb 2023,2023-02-28,6,27,4830.04,3
Mar 2023,2023-03-31,6,28,5524.66,6
Apr 2023,2023-04-28,6,30,9910.74,6
May 2023,2023-05-31,6,29,10303.0,10
Jun 2023,2023-06-30,6,29,11225.48,10
Jul 2023,2023-07-31,6,30,12125.91,8
Aug 2023,2023-08-31,6,32,13081.18,5
Sep 2023,2023-09-29,6,31,13396.34,9
Oct 2023,2023-10-31,6,32,13892.79,6
Nov 2023,2023-11-30,6,34,15153.3,11
Dec 2023,2023-12-29,6,34,16904.77,11
Jan 2024,2024-01-31,6,31,17670.68,12
Feb 2024,2024-02-29,6,29,9096.07,5
Mar 2024,2024-03-28,6,29,11765.59,5
Apr 2024,2024-04-30,6,30,15351.27,6
May 2024,2024-05-31,6,29,16096.0,4
Jun 2024,2024-06-28,6,28,20662.91,8
Jul 2024,2024-07-31,6,28,22000.11,16
Aug 2024,2024-08-30,6,27,22475.66,10
Sep 2024,2024-09-30,6,28,23575.08,12
Oct 2024,2024-10-31,6,26,15981.1,6
Nov 2024,2024-11-29,6,26,11161.57,3
Dec 2024,2024-12-31,6,26,21093.01,3
Jan 2025,2025-01-31,6,24,14022.25,6
Feb 2025,2025-02-28,6,28,15069.61,8
Mar 2025,2025-03-31,6,29,16248.14,10
Apr 2025,2025-04-30,6,28,17940.62,9
May 2025,2025-05-30,6,30,20372.3,8
Jun 2025,2025-06-30,6,27,21038.93,6
Jul 2025,2025-07-31,6,28,20099.75,10
Aug 2025,2025-08-29,6,27,19782.77,8
Sep 2025,2025-09-30,6,28,16310.28,6
