Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Nov 2016,2016-11-30,0.0,24528.53,2044.044142,2044.04,0.0,2044.04,2044.04,0.0,24416.0,13
Dec 2016,2016-12-30,0.0,24891.58,2074.297945,0.0,0.0,0.0,0.0,0.0,24891.58,0
Jan 2017,2017-01-31,0.0,26046.24,2170.519637,0.0,0.0,0.0,0.0,0.0,26046.24,0
Feb 2017,2017-02-28,0.0,28425.91,2368.825513,0.0,0.0,0.0,0.0,0.0,28425.91,0
Mar 2017,2017-03-31,0.0,29771.61,2480.967186,0.0,0.0,0.0,0.0,0.0,29771.61,0
Apr 2017,2017-04-28,0.0,31138.55,2594.879412,0.0,0.0,0.0,0.0,0.0,31138.55,0
May 2017,2017-05-31,0.0,31436.2,2619.683145,2619.68,0.0,2619.68,2619.68,0.0,31717.32,14
Jun 2017,2017-06-30,0.0,34662.39,2888.532437,395.33,0.0,395.33,395.33,0.0,34669.9,1
Jul 2017,2017-07-31,0.0,39077.66,3256.471617,3256.47,0.0,3256.47,3256.47,0.0,39282.54,9
Aug 2017,2017-08-31,0.0,37543.83,3128.652194,3128.65,0.0,3128.65,3128.65,0.0,37504.62,10
Sep 2017,2017-09-29,0.0,38982.14,3248.511883,1640.62,0.0,1640.62,1640.62,0.0,38970.78,9
Oct 2017,2017-10-31,0.0,43253.65,3604.470687,3604.47,0.0,3604.47,3604.47,0.0,43648.8,13
Nov 2017,2017-11-30,0.0,45708.46,3809.03843,3809.04,0.0,3809.04,3809.04,0.0,45802.89,7
Dec 2017,2017-12-29,0.0,46770.64,3897.553554,3897.55,0.0,3897.55,3897.55,0.0,46909.26,4
Jan 2018,2018-01-31,0.0,45475.23,3789.602264,3789.6,0.0,3789.6,3789.6,0.0,45306.55,5
Feb 2018,2018-02-28,0.0,43352.41,3612.700811,3612.7,0.0,3612.7,3612.7,0.0,43124.6,6
Mar 2018,2018-03-28,0.0,40787.13,3398.927705,3398.93,0.0,3398.93,3398.93,0.0,40714.0,4
Apr 2018,2018-04-30,0.0,43417.38,3618.115156,3618.12,0.0,3618.12,3618.12,0.0,43801.52,9
May 2018,2018-05-31,0.0,39736.73,3311.393794,3311.39,0.0,3311.39,3311.39,0.0,39464.69,4
Jun 2018,2018-06-29,0.0,37420.36,3118.362968,3118.36,0.0,3118.36,3118.36,0.0,37378.84,8
