Date,Portfolio_Value,Bank,Equity
2023-05-11,79454.63,0.0,79454.63
2023-05-12,78736.02,0.0,78736.02
2023-05-15,79330.62,0.0,79330.62
2023-05-16,79346.99,0.0,79346.99
2023-05-17,79652.44,0.0,79652.44
2023-05-18,81484.66,0.0,81484.66
2023-05-19,80695.56,0.0,80695.56
2023-05-22,81796.69,0.0,81796.69
2023-05-23,81200.42,0.0,81200.42
2023-05-24,81522.55,0.0,81522.55
2023-05-25,81833.75,0.0,81833.75
2023-05-26,82164.77,0.0,82164.77
2023-05-29,82374.23,0.0,82374.23
2023-05-30,82235.7,0.0,82235.7
2023-05-31,82523.88,0.0,82523.88
2023-06-01,82759.26,0.0,82759.26
2023-06-02,83768.76,0.0,83768.76
2023-06-05,84792.79,0.0,84792.79
2023-06-06,86476.45,0.0,86476.45
2023-06-07,87101.94,0.0,87101.94
2023-06-08,86059.69,0.0,86059.69
2023-06-09,86703.94,0.0,86703.94
2023-06-12,86384.66,0.0,86384.66
2023-06-13,86851.17,0.0,86851.17
2023-06-14,88007.16,0.0,88007.16
2023-06-15,87876.39,0.0,87876.39
2023-06-16,88070.91,0.0,88070.91
2023-06-19,88044.52,0.0,88044.52
2023-06-20,89472.87,0.0,89472.87
2023-06-21,89280.87,0.0,89280.87
2023-06-22,88750.97,0.0,88750.97
2023-06-23,87446.1,0.0,87446.1
2023-06-26,87636.97,0.0,87636.97
2023-06-27,89722.66,0.0,89722.66
2023-06-28,90680.1,0.0,90680.1
2023-06-30,89727.31,0.0,89727.31
2023-07-03,91186.48,0.0,91186.48
2023-07-04,91937.79,0.0,91937.79
2023-07-05,91931.92,0.0,91931.92
2023-07-06,92329.04,0.0,92329.04
2023-07-07,91710.88,0.0,91710.88
2023-07-10,91148.55,0.0,91148.55
2023-07-11,93437.92,0.0,93437.92
2023-07-12,93483.12,0.0,93483.12
2023-07-13,93833.83,0.0,93833.83
2023-07-14,95502.29,0.0,95502.29
2023-07-17,95938.7,0.0,95938.7
2023-07-18,95615.58,0.0,95615.58
2023-07-19,96132.53,0.0,96132.53
2023-07-20,96426.93,0.0,96426.93
2023-07-21,97049.21,0.0,97049.21
2023-07-24,98184.09,0.0,98184.09
2023-07-25,98190.76,0.0,98190.76
2023-07-26,98123.5,0.0,98123.5
2023-07-27,98432.81,0.0,98432.81
2023-07-28,98345.59,0.0,98345.59
2023-07-31,99635.5,0.0,99635.5
2023-08-01,101988.83,0.0,101988.83
2023-08-02,99756.09,0.0,99756.09
2023-08-03,99196.95,0.0,99196.95
2023-08-04,99713.68,0.0,99713.68
2023-08-07,99565.77,0.0,99565.77
2023-08-08,100459.5,0.0,100459.5
2023-08-09,100541.23,0.0,100541.23
2023-08-10,99975.78,0.0,99975.78
2023-08-11,99137.15,0.0,99137.15
2023-08-14,99803.3,0.0,99803.3
2023-08-16,101399.28,0.0,101399.28
2023-08-17,101533.81,0.0,101533.81
2023-08-18,100429.67,0.0,100429.67
2023-08-21,101842.15,0.0,101842.15
2023-08-22,104573.2,0.0,104573.2
2023-08-23,105148.92,0.0,105148.92
2023-08-24,105179.57,0.0,105179.57
2023-08-25,104046.53,0.0,104046.53
2023-08-28,104485.84,0.0,104485.84
2023-08-29,105955.67,0.0,105955.67
2023-08-30,107030.12,0.0,107030.12
2023-08-31,106536.18,0.0,106536.18
2023-09-01,108112.19,0.0,108112.19
2023-09-04,110217.83,0.0,110217.83
2023-09-05,108662.5,0.0,108662.5
2023-09-06,111438.98,0.0,111438.98
2023-09-07,110679.91,0.0,110679.91
2023-09-08,111305.57,0.0,111305.57
2023-09-11,111797.65,0.0,111797.65
2023-09-12,104794.75,0.0,104794.75
2023-09-13,107233.67,0.0,107233.67
2023-09-14,108772.72,0.0,108772.72
2023-09-15,110738.99,0.0,110738.99
2023-09-18,109444.48,0.0,109444.48
2023-09-20,107692.59,0.0,107692.59
2023-09-21,107043.12,0.0,107043.12
2023-09-22,107145.34,0.0,107145.34
