Month,Date,Investment,Portfolio_Value,Bank,Equity,Holdings
Mar 2018,2018-03-01,4474.83,29004.86,0.0,29004.86,"[{'Ticker': 'IGL.NS', 'Quantity': 12.676728}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 12.795992}, {'Ticker': 'VGUARD.NS', 'Quantity': 8.854546}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 7.305905}, {'Ticker': 'VAKRANGEE.NS', 'Quantity': 3.858903}, {'Ticker': 'AARTIIND.NS', 'Quantity': 1.954627}, {'Ticker': 'VINATIORGA.NS', 'Quantity': 4.371925}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 5.021802}, {'Ticker': 'RECLTD.NS', 'Quantity': 8.187581}, {'Ticker': 'WIPRO.NS', 'Quantity': 12.543592}, {'Ticker': 'KPRMILL.NS', 'Quantity': 6.277348}, {'Ticker': 'NAVNETEDUL.NS', 'Quantity': 2.532075}, {'Ticker': 'GREENPLY.NS', 'Quantity': 6.454416}, {'Ticker': 'NBCC.NS', 'Quantity': 10.329124}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}]"
Apr 2018,2018-04-02,0.0,28696.84,0.0,28696.84,"[{'Ticker': 'IGL.NS', 'Quantity': 12.676728}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 12.795992}, {'Ticker': 'VGUARD.NS', 'Quantity': 8.854546}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 7.305905}, {'Ticker': 'VAKRANGEE.NS', 'Quantity': 3.858903}, {'Ticker': 'AARTIIND.NS', 'Quantity': 1.954627}, {'Ticker': 'VINATIORGA.NS', 'Quantity': 4.371925}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 5.021802}, {'Ticker': 'RECLTD.NS', 'Quantity': 8.187581}, {'Ticker': 'WIPRO.NS', 'Quantity': 12.543592}, {'Ticker': 'KPRMILL.NS', 'Quantity': 6.277348}, {'Ticker': 'NAVNETEDUL.NS', 'Quantity': 2.532075}, {'Ticker': 'GREENPLY.NS', 'Quantity': 6.454416}, {'Ticker': 'NBCC.NS', 'Quantity': 10.329124}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}]"
May 2018,2018-05-02,1853.32,28886.65,0.0,28886.65,"[{'Ticker': 'IGL.NS', 'Quantity': 12.676728}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 12.795992}, {'Ticker': 'VGUARD.NS', 'Quantity': 7.635118}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 6.483568}, {'Ticker': 'VAKRANGEE.NS', 'Quantity': 2.469302}, {'Ticker': 'AARTIIND.NS', 'Quantity': 2.910862}, {'Ticker': 'VINATIORGA.NS', 'Quantity': 3.800318}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 4.967761}, {'Ticker': 'RECLTD.NS', 'Quantity': 6.607342}, {'Ticker': 'WIPRO.NS', 'Quantity': 12.543592}, {'Ticker': 'KPRMILL.NS', 'Quantity': 6.277348}, {'Ticker': 'NAVNETEDUL.NS', 'Quantity': 2.532075}, {'Ticker': 'GREENPLY.NS', 'Quantity': 6.454416}, {'Ticker': 'NBCC.NS', 'Quantity': 10.329124}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.289071}, {'Ticker': 'TECHM.NS', 'Quantity': 0.46621}, {'Ticker': 'TCS.NS', 'Quantity': 0.17652}]"
Jun 2018,2018-06-01,2476.66,25755.57,0.0,25755.57,"[{'Ticker': 'IGL.NS', 'Quantity': 12.676728}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 14.782978}, {'Ticker': 'VGUARD.NS', 'Quantity': 5.194983}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 5.540559}, {'Ticker': 'AARTIIND.NS', 'Quantity': 2.910862}, {'Ticker': 'VINATIORGA.NS', 'Quantity': 2.812413}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 4.772137}, {'Ticker': 'RECLTD.NS', 'Quantity': 3.456898}, {'Ticker': 'WIPRO.NS', 'Quantity': 12.543592}, {'Ticker': 'KPRMILL.NS', 'Quantity': 6.277348}, {'Ticker': 'NAVNETEDUL.NS', 'Quantity': 2.532075}, {'Ticker': 'GREENPLY.NS', 'Quantity': 6.454416}, {'Ticker': 'NBCC.NS', 'Quantity': 10.329124}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 1.054923}, {'Ticker': 'TCS.NS', 'Quantity': 0.17652}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 1.60084}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}]"
Jul 2018,2018-07-02,0.0,25188.63,0.0,25188.63,"[{'Ticker': 'IGL.NS', 'Quantity': 12.676728}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 14.782978}, {'Ticker': 'VGUARD.NS', 'Quantity': 5.194983}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 5.540559}, {'Ticker': 'AARTIIND.NS', 'Quantity': 2.910862}, {'Ticker': 'VINATIORGA.NS', 'Quantity': 2.812413}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 4.772137}, {'Ticker': 'RECLTD.NS', 'Quantity': 3.456898}, {'Ticker': 'WIPRO.NS', 'Quantity': 12.543592}, {'Ticker': 'KPRMILL.NS', 'Quantity': 6.277348}, {'Ticker': 'NAVNETEDUL.NS', 'Quantity': 2.532075}, {'Ticker': 'GREENPLY.NS', 'Quantity': 6.454416}, {'Ticker': 'NBCC.NS', 'Quantity': 10.329124}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 1.054923}, {'Ticker': 'TCS.NS', 'Quantity': 0.17652}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 1.60084}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}]"
Aug 2018,2018-08-01,3073.15,26735.5,0.0,26735.5,"[{'Ticker': 'IGL.NS', 'Quantity': 8.428079}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 16.6641}, {'Ticker': 'VGUARD.NS', 'Quantity': 5.194983}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 4.641762}, {'Ticker': 'AARTIIND.NS', 'Quantity': 0.956235}, {'Ticker': 'VINATIORGA.NS', 'Quantity': 1.88394}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 4.239947}, {'Ticker': 'WIPRO.NS', 'Quantity': 12.543592}, {'Ticker': 'KPRMILL.NS', 'Quantity': 6.277348}, {'Ticker': 'NAVNETEDUL.NS', 'Quantity': 2.532075}, {'Ticker': 'GREENPLY.NS', 'Quantity': 6.454416}, {'Ticker': 'NBCC.NS', 'Quantity': 10.329124}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 1.80693}, {'Ticker': 'TCS.NS', 'Quantity': 0.43566}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 1.60084}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}, {'Ticker': 'SONATSOFTW.NS', 'Quantity': 3.850162}, {'Ticker': 'TVTODAY.NS', 'Quantity': 1.205157}, {'Ticker': 'RELAXO.NS', 'Quantity': 1.255295}]"
Sep 2018,2018-09-03,6784.05,27671.66,0.0,27671.66,"[{'Ticker': 'IGL.NS', 'Quantity': 8.428079}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 15.453808}, {'Ticker': 'VGUARD.NS', 'Quantity': 5.194983}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 3.083122}, {'Ticker': 'AARTIIND.NS', 'Quantity': 4.390885}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 3.072252}, {'Ticker': 'WIPRO.NS', 'Quantity': 3.863512}, {'Ticker': 'NAVNETEDUL.NS', 'Quantity': 2.532075}, {'Ticker': 'GREENPLY.NS', 'Quantity': 6.454416}, {'Ticker': 'NBCC.NS', 'Quantity': 10.329124}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 3.323291}, {'Ticker': 'TCS.NS', 'Quantity': 0.98643}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 1.60084}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}, {'Ticker': 'SONATSOFTW.NS', 'Quantity': 12.570718}, {'Ticker': 'TVTODAY.NS', 'Quantity': 3.709697}, {'Ticker': 'RELAXO.NS', 'Quantity': 1.255295}]"
Oct 2018,2018-10-01,0.0,24694.77,0.0,24694.77,"[{'Ticker': 'IGL.NS', 'Quantity': 8.428079}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 15.453808}, {'Ticker': 'VGUARD.NS', 'Quantity': 5.194983}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 3.083122}, {'Ticker': 'AARTIIND.NS', 'Quantity': 4.390885}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 3.072252}, {'Ticker': 'WIPRO.NS', 'Quantity': 3.863512}, {'Ticker': 'NAVNETEDUL.NS', 'Quantity': 2.532075}, {'Ticker': 'GREENPLY.NS', 'Quantity': 6.454416}, {'Ticker': 'NBCC.NS', 'Quantity': 10.329124}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 3.323291}, {'Ticker': 'TCS.NS', 'Quantity': 0.98643}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 1.60084}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}, {'Ticker': 'SONATSOFTW.NS', 'Quantity': 12.570718}, {'Ticker': 'TVTODAY.NS', 'Quantity': 3.709697}, {'Ticker': 'RELAXO.NS', 'Quantity': 1.255295}]"
Nov 2018,2018-11-01,2452.49,24580.48,0.0,24580.48,"[{'Ticker': 'IGL.NS', 'Quantity': 5.649841}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 13.259017}, {'Ticker': 'VGUARD.NS', 'Quantity': 5.194983}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 2.537005}, {'Ticker': 'AARTIIND.NS', 'Quantity': 4.390885}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 2.586911}, {'Ticker': 'GREENPLY.NS', 'Quantity': 6.454416}, {'Ticker': 'NBCC.NS', 'Quantity': 10.329124}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 3.890445}, {'Ticker': 'TCS.NS', 'Quantity': 0.98643}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.157975}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}, {'Ticker': 'SONATSOFTW.NS', 'Quantity': 16.078344}, {'Ticker': 'TVTODAY.NS', 'Quantity': 3.709697}, {'Ticker': 'RELAXO.NS', 'Quantity': 1.255295}, {'Ticker': 'INFY.NS', 'Quantity': 0.613092}, {'Ticker': 'VMART.NS', 'Quantity': 0.643634}, {'Ticker': 'ATUL.NS', 'Quantity': 0.121301}]"
Dec 2018,2018-12-03,3954.01,24047.04,0.0,24047.04,"[{'Ticker': 'BAJFINANCE.NS', 'Quantity': 10.645737}, {'Ticker': 'VGUARD.NS', 'Quantity': 5.194983}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 1.511591}, {'Ticker': 'AARTIIND.NS', 'Quantity': 6.252759}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.738125}, {'Ticker': 'GREENPLY.NS', 'Quantity': 3.613913}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 4.8151}, {'Ticker': 'TCS.NS', 'Quantity': 1.318856}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.157975}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}, {'Ticker': 'SONATSOFTW.NS', 'Quantity': 16.078344}, {'Ticker': 'TVTODAY.NS', 'Quantity': 3.709697}, {'Ticker': 'RELAXO.NS', 'Quantity': 1.255295}, {'Ticker': 'INFY.NS', 'Quantity': 0.613092}, {'Ticker': 'VMART.NS', 'Quantity': 1.644206}, {'Ticker': 'ATUL.NS', 'Quantity': 0.121301}, {'Ticker': 'ZYDUSWELL.NS', 'Quantity': 2.630535}]"
Jan 2019,2019-01-01,0.0,24447.14,0.0,24447.14,"[{'Ticker': 'BAJFINANCE.NS', 'Quantity': 10.645737}, {'Ticker': 'VGUARD.NS', 'Quantity': 5.194983}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 1.511591}, {'Ticker': 'AARTIIND.NS', 'Quantity': 6.252759}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.738125}, {'Ticker': 'GREENPLY.NS', 'Quantity': 3.613913}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 32.151019}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 2.993758}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 4.8151}, {'Ticker': 'TCS.NS', 'Quantity': 1.318856}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.157975}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}, {'Ticker': 'SONATSOFTW.NS', 'Quantity': 16.078344}, {'Ticker': 'TVTODAY.NS', 'Quantity': 3.709697}, {'Ticker': 'RELAXO.NS', 'Quantity': 1.255295}, {'Ticker': 'INFY.NS', 'Quantity': 0.613092}, {'Ticker': 'VMART.NS', 'Quantity': 1.644206}, {'Ticker': 'ATUL.NS', 'Quantity': 0.121301}, {'Ticker': 'ZYDUSWELL.NS', 'Quantity': 2.630535}]"
Feb 2019,2019-02-01,1585.28,24523.64,0.0,24523.64,"[{'Ticker': 'BAJFINANCE.NS', 'Quantity': 11.65096}, {'Ticker': 'VGUARD.NS', 'Quantity': 3.131659}, {'Ticker': 'AVANTIFEED.NS', 'Quantity': 0.920197}, {'Ticker': 'AARTIIND.NS', 'Quantity': 6.918867}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.319769}, {'Ticker': 'GREENPLY.NS', 'Quantity': 2.20772}, {'Ticker': 'PCJEWELLER.NS', 'Quantity': 22.379734}, {'Ticker': 'PERSISTENT.NS', 'Quantity': 1.786786}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 4.8151}, {'Ticker': 'TCS.NS', 'Quantity': 1.449013}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.157975}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}, {'Ticker': 'SONATSOFTW.NS', 'Quantity': 16.078344}, {'Ticker': 'TVTODAY.NS', 'Quantity': 3.709697}, {'Ticker': 'RELAXO.NS', 'Quantity': 1.255295}, {'Ticker': 'INFY.NS', 'Quantity': 0.962095}, {'Ticker': 'VMART.NS', 'Quantity': 2.044567}, {'Ticker': 'ATUL.NS', 'Quantity': 0.121301}, {'Ticker': 'ZYDUSWELL.NS', 'Quantity': 3.619652}]"
Mar 2019,2019-03-01,2682.89,24539.69,0.0,24539.69,"[{'Ticker': 'BAJFINANCE.NS', 'Quantity': 13.331495}, {'Ticker': 'AARTIIND.NS', 'Quantity': 8.228357}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 0.616279}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 5.352668}, {'Ticker': 'TCS.NS', 'Quantity': 1.673103}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.157975}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}, {'Ticker': 'SONATSOFTW.NS', 'Quantity': 16.078344}, {'Ticker': 'TVTODAY.NS', 'Quantity': 3.709697}, {'Ticker': 'RELAXO.NS', 'Quantity': 1.255295}, {'Ticker': 'INFY.NS', 'Quantity': 1.564802}, {'Ticker': 'VMART.NS', 'Quantity': 2.741752}, {'Ticker': 'ATUL.NS', 'Quantity': 0.121301}, {'Ticker': 'ZYDUSWELL.NS', 'Quantity': 3.619652}]"
Apr 2019,2019-04-01,0.0,25580.37,0.0,25580.37,"[{'Ticker': 'BAJFINANCE.NS', 'Quantity': 13.331495}, {'Ticker': 'AARTIIND.NS', 'Quantity': 8.228357}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 0.616279}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 0.902942}, {'Ticker': 'SOLARINDS.NS', 'Quantity': 0.643751}, {'Ticker': 'TECHM.NS', 'Quantity': 5.352668}, {'Ticker': 'TCS.NS', 'Quantity': 1.673103}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.157975}, {'Ticker': 'HINDZINC.NS', 'Quantity': 1.417258}, {'Ticker': 'SONATSOFTW.NS', 'Quantity': 16.078344}, {'Ticker': 'TVTODAY.NS', 'Quantity': 3.709697}, {'Ticker': 'RELAXO.NS', 'Quantity': 1.255295}, {'Ticker': 'INFY.NS', 'Quantity': 1.564802}, {'Ticker': 'VMART.NS', 'Quantity': 2.741752}, {'Ticker': 'ATUL.NS', 'Quantity': 0.121301}, {'Ticker': 'ZYDUSWELL.NS', 'Quantity': 3.619652}]"
