Month,Date,Stock,Liquidated_Qty,Liquidated_Amount,Reason,Remaining_Qty,Portfolio_Value_After
Aug 2018,2018-08-31,PERSISTENT.NS,0.831249,343.97,Not in good list (full within limit),0.0,25333.83
Aug 2018,2018-08-31,BALKRISIND.NS,1.369927,1863.24,Not in good list (partial to meet limit),1.491619,25333.83
Sep 2018,2018-09-28,VAKRANGEE.NS,1.764318,46.61,Not in good list (full within limit),0.0,21246.35
Sep 2018,2018-09-28,BALKRISIND.NS,1.491619,1519.29,Not in good list (full within limit),0.0,21246.35
Sep 2018,2018-09-28,RELAXO.NS,0.999632,365.59,Not in good list (partial to meet limit),0.957435,21246.35
Oct 2018,2018-10-31,HINDUNILVR.NS,0.410788,666.17,Not in good list (full within limit),0.0,21388.56
Oct 2018,2018-10-31,TECHM.NS,1.566409,1165.25,Not in good list (full within limit),0.0,21388.56
Oct 2018,2018-10-31,BAJFINANCE.NS,0.474233,112.99,Not in good list (partial to meet limit),35.638037,21388.56
Nov 2018,2018-11-30,RELAXO.NS,1.873531,704.03,Not in good list (full within limit),0.0,21868.16
Nov 2018,2018-11-30,TCS.NS,0.65235,1283.99,Not in good list (partial to meet limit),0.219446,21868.16
Dec 2018,2018-12-31,VINATIORGA.NS,0.982136,811.93,Not in good list (full within limit),0.0,22488.28
Dec 2018,2018-12-31,BAJFINANCE.NS,4.659312,1232.46,Not in good list (partial to meet limit),30.978725,22488.28
Jan 2019,2019-01-31,INFY.NS,1.888194,1415.3,Not in good list (full within limit),0.0,22647.86
Jan 2019,2019-01-31,BAJFINANCE.NS,2.499563,643.6,Not in good list (partial to meet limit),28.479162,22647.86
Feb 2019,2019-02-28,BAJFINANCE.NS,7.651058,2026.77,Not in good list (partial to meet limit),20.828104,22294.42
Mar 2019,2019-03-29,INFY.NS,0.446198,329.2,Not in good list (full within limit),0.0,23876.69
Mar 2019,2019-03-29,ZENSARTECH.NS,7.889475,1841.4,Not in good list (partial to meet limit),5.433852,23876.69
Apr 2019,2019-04-30,APLLTD.NS,0.549433,306.17,Not in good list (full within limit),0.0,24352.88
Apr 2019,2019-04-30,AARTIIND.NS,4.838329,1907.73,Not in good list (partial to meet limit),3.562845,24352.88
May 2019,2019-05-31,TECHM.NS,1.849942,1406.6,Not in good list (full within limit),0.0,25108.26
May 2019,2019-05-31,RELAXO.NS,1.880388,793.19,Not in good list (full within limit),0.0,25108.26
May 2019,2019-05-31,AARTIIND.NS,0.182237,82.77,Not in good list (partial to meet limit),3.380608,25108.26
Jun 2019,2019-06-28,COLPAL.NS,0.902649,1017.92,Not in good list (full within limit),0.0,24647.5
