Month,Ticker,Invested_Amount,Current_Amount,Portfolio_Total,Weight_Pct
Oct 2016,VSTIND.NS,4151.78,14262.21,26870.61,53.077
Nov 2016,VSTIND.NS,3784.7,11468.2,24888.77,46.078
Dec 2016,VSTIND.NS,4016.97,12620.78,25152.02,50.178
Jan 2017,VSTIND.NS,4016.97,12609.76,26297.64,47.95
Feb 2017,VSTIND.NS,4016.97,14117.31,28588.04,49.382
Mar 2017,VSTIND.NS,4016.97,15051.85,30043.06,50.101
Apr 2017,VSTIND.NS,4016.97,15995.05,31908.02,50.129
May 2017,VSTIND.NS,4008.31,14264.48,32906.65,43.348
Jun 2017,VSTIND.NS,4150.51,16563.37,35326.9,46.886
Jul 2017,VSTIND.NS,4696.86,19627.13,39533.42,49.647
Aug 2017,VSTIND.NS,4696.86,17230.79,37492.36,45.958
Sep 2017,VSTIND.NS,5111.24,18479.86,38712.75,47.736
Oct 2017,VSTIND.NS,4644.68,17472.51,43160.939999999995,40.482
Nov 2017,VSTIND.NS,4142.58,14467.95,44223.67,32.715
Dec 2017,VSTIND.NS,3640.51,10434.4,45033.56,23.17
Jan 2018,VSTIND.NS,2937.65,6955.48,43172.07,16.111
Feb 2018,AVANTIFEED.NS,5144.4,6705.16,42265.68,15.864
Mar 2018,AVANTIFEED.NS,5711.77,6770.12,40756.49,16.611
Apr 2018,AVANTIFEED.NS,6327.22,8162.65,44248.88,18.447
May 2018,AVANTIFEED.NS,6877.01,5740.13,39297.77,14.607
Jun 2018,AVANTIFEED.NS,6877.01,5675.45,37969.82,14.947
Jul 2018,AVANTIFEED.NS,7419.4,5697.75,39127.69,14.562
Aug 2018,AVANTIFEED.NS,7419.4,4966.26,41682.7,11.914
