Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
GPIL.NS,11.077461,261.05,2891.75,223.42,2474.91,1.173,Jul 2024,2024-07-31
PERSISTENT.NS,2.285412,3399.14,7768.44,4832.3,11043.79,5.235,Jul 2024,2024-07-31
GODFRYPHLP.NS,2.172185,3258.24,7077.5,4161.45,9039.45,4.285,Jul 2024,2024-07-31
SURYAROSNI.NS,9.078113,565.73,5135.8,605.31,5495.06,2.605,Jul 2024,2024-07-31
GRSE.NS,5.654142,838.07,4738.57,2403.57,13590.13,6.442,Jul 2024,2024-07-31
BAJAJ-AUTO.NS,0.631777,7447.6,4705.22,9664.2,6105.62,2.894,Jul 2024,2024-07-31
PCBL.NS,15.931895,295.33,4705.14,325.25,5181.85,2.456,Jul 2024,2024-07-31
APARINDS.NS,0.317365,6263.95,1987.96,9173.02,2911.2,1.38,Jul 2024,2024-07-31
GOKEX.NS,1.745497,754.1,1316.28,962.45,1679.95,0.796,Jul 2024,2024-07-31
ECLERX.NS,0.550186,2392.43,1316.28,2394.73,1317.54,0.625,Jul 2024,2024-07-31
TI.NS,16.878757,237.31,4005.42,251.29,4241.54,2.011,Jul 2024,2024-07-31
CAPLIPOINT.NS,1.184202,1328.11,1572.75,1572.02,1861.59,0.882,Jul 2024,2024-07-31
SUPREMEIND.NS,0.328767,4783.78,1572.75,5342.1,1756.3,0.833,Jul 2024,2024-07-31
JBCHEPHARM.NS,1.369812,1775.92,2432.67,1917.92,2627.19,1.245,Jul 2024,2024-07-31
MSTCLTD.NS,3.513047,832.03,2922.95,921.23,3236.34,1.534,Jul 2024,2024-07-31
GRAVITA.NS,1.979313,1476.75,2922.95,1640.15,3246.37,1.539,Jul 2024,2024-07-31
SONATSOFTW.NS,0.864638,517.33,447.3,665.75,575.63,0.27,Aug 2024,2024-08-30
KNRCON.NS,17.556882,249.2,4375.24,330.71,5806.25,2.724,Aug 2024,2024-08-30
NMDC.NS,59.301534,187.91,11143.16,221.14,13113.68,6.152,Aug 2024,2024-08-30
CHAMBLFERT.NS,18.60934,338.04,6290.68,514.6,9576.33,4.493,Aug 2024,2024-08-30
WIPRO.NS,4.286364,317.09,1359.17,269.2,1153.89,0.541,Aug 2024,2024-08-30
FACT.NS,26.206979,698.82,18313.89,980.12,25686.1,12.051,Aug 2024,2024-08-30
HAL.NS,5.683449,3381.9,19220.85,4679.95,26598.26,12.479,Aug 2024,2024-08-30
GOKULAGRO.NS,3.067123,117.5,360.39,259.2,795.0,0.373,Aug 2024,2024-08-30
HGINFRA.NS,4.793978,909.58,4360.49,1562.35,7489.87,3.514,Aug 2024,2024-08-30
CANFINHOME.NS,1.505721,715.92,1077.98,857.34,1290.92,0.606,Aug 2024,2024-08-30
REFEX.NS,36.520986,141.99,5185.67,310.05,11323.33,5.312,Aug 2024,2024-08-30
BANCOINDIA.NS,25.925363,489.95,12702.06,678.35,17586.47,8.251,Aug 2024,2024-08-30
GPIL.NS,11.077461,261.05,2891.75,189.93,2103.94,0.987,Aug 2024,2024-08-30
PERSISTENT.NS,2.285412,3399.14,7768.44,5170.85,11817.52,5.544,Aug 2024,2024-08-30
GODFRYPHLP.NS,2.172185,3258.24,7077.5,6469.62,14053.22,6.593,Aug 2024,2024-08-30
SURYAROSNI.NS,9.078113,565.73,5135.8,672.9,6108.63,2.866,Aug 2024,2024-08-30
GRSE.NS,5.654142,838.07,4738.57,1809.51,10231.23,4.8,Aug 2024,2024-08-30
BAJAJ-AUTO.NS,0.631777,7447.6,4705.22,10891.55,6881.03,3.228,Aug 2024,2024-08-30
PCBL.NS,15.931895,295.33,4705.14,488.9,7789.1,3.654,Aug 2024,2024-08-30
APARINDS.NS,0.317365,6263.95,1987.96,9163.5,2908.18,1.364,Aug 2024,2024-08-30
GOKEX.NS,1.745497,754.1,1316.28,939.8,1640.42,0.77,Aug 2024,2024-08-30
ECLERX.NS,0.550186,2392.43,1316.28,2902.8,1597.08,0.749,Aug 2024,2024-08-30
TI.NS,16.878757,237.31,4005.42,273.91,4623.23,2.169,Aug 2024,2024-08-30
CAPLIPOINT.NS,1.184202,1328.11,1572.75,1902.54,2253.0,1.057,Aug 2024,2024-08-30
SUPREMEIND.NS,0.328767,4783.78,1572.75,5272.56,1733.44,0.813,Aug 2024,2024-08-30
JBCHEPHARM.NS,1.369812,1775.92,2432.67,1953.8,2676.34,1.256,Aug 2024,2024-08-30
MSTCLTD.NS,6.854657,860.24,5896.66,807.9,5537.88,2.598,Aug 2024,2024-08-30
GRAVITA.NS,1.979313,1476.75,2922.95,2277.15,4507.19,2.115,Aug 2024,2024-08-30
SHARDAMOTR.NS,1.225336,2426.85,2973.71,2700.04,3308.46,1.552,Aug 2024,2024-08-30
HINDZINC.NS,4.761849,624.49,2973.71,500.75,2384.5,1.119,Aug 2024,2024-08-30
KNRCON.NS,17.556882,249.2,4375.24,343.75,6035.18,2.668,Sep 2024,2024-09-30
NMDC.NS,59.301534,187.91,11143.16,244.91,14523.54,6.421,Sep 2024,2024-09-30
CHAMBLFERT.NS,18.60934,338.04,6290.68,523.75,9746.61,4.309,Sep 2024,2024-09-30
WIPRO.NS,4.286364,317.09,1359.17,270.73,1160.43,0.513,Sep 2024,2024-09-30
FACT.NS,22.530462,805.8,18155.15,963.95,21718.24,9.601,Sep 2024,2024-09-30
HAL.NS,5.546149,3748.0,20786.95,4420.65,24517.58,10.839,Sep 2024,2024-09-30
HGINFRA.NS,4.793978,909.58,4360.49,1548.65,7424.19,3.282,Sep 2024,2024-09-30
CANFINHOME.NS,1.505721,715.92,1077.98,885.84,1333.82,0.59,Sep 2024,2024-09-30
REFEX.NS,23.58473,128.63,3033.81,562.7,13271.13,5.867,Sep 2024,2024-09-30
BANCOINDIA.NS,25.925363,489.95,12702.06,677.25,17557.95,7.762,Sep 2024,2024-09-30
GPIL.NS,11.077461,261.05,2891.75,222.0,2459.2,1.087,Sep 2024,2024-09-30
PERSISTENT.NS,2.285412,3399.14,7768.44,5450.4,12456.41,5.507,Sep 2024,2024-09-30
GODFRYPHLP.NS,2.172185,3258.24,7077.5,6936.03,15066.34,6.661,Sep 2024,2024-09-30
SURYAROSNI.NS,9.078113,565.73,5135.8,716.21,6501.81,2.874,Sep 2024,2024-09-30
GRSE.NS,5.654142,838.07,4738.57,1722.35,9738.41,4.305,Sep 2024,2024-09-30
BAJAJ-AUTO.NS,0.914131,8583.8,7846.72,12345.95,11285.81,4.989,Sep 2024,2024-09-30
PCBL.NS,22.370704,350.75,7846.63,577.6,12921.32,5.712,Sep 2024,2024-09-30
