Date,Portfolio_Value,Bank,Month,Equity
2018-05-07,41931.05,0.0,May 2018,41931.05
2018-05-08,41859.02,0.0,May 2018,41859.02
2018-05-09,41597.51,0.0,May 2018,41597.51
2018-05-10,40791.23,0.0,May 2018,40791.23
2018-05-11,40698.02,0.0,May 2018,40698.02
2018-05-14,39678.73,0.0,May 2018,39678.73
2018-05-15,39492.01,0.0,May 2018,39492.01
2018-05-16,39411.86,0.0,May 2018,39411.86
2018-05-17,39292.65,0.0,May 2018,39292.65
2018-05-18,38808.24,0.0,May 2018,38808.24
2018-05-21,37792.4,0.0,May 2018,37792.4
2018-05-22,38186.12,0.0,May 2018,38186.12
2018-05-23,37596.65,0.0,May 2018,37596.65
2018-05-24,37541.25,0.0,May 2018,37541.25
2018-05-25,37846.49,0.0,May 2018,37846.49
2018-05-28,37610.55,0.0,May 2018,37610.55
2018-05-29,37603.75,0.0,May 2018,37603.75
2018-05-30,37326.01,0.0,May 2018,37326.01
2018-05-31,36621.39,0.0,May 2018,36621.39
2018-06-01,35480.29,0.0,Jun 2018,35480.29
2018-06-04,34827.86,0.0,Jun 2018,34827.86
2018-06-05,33915.06,0.0,Jun 2018,33915.06
2018-06-06,35306.36,0.0,Jun 2018,35306.36
2018-06-07,36424.31,0.0,Jun 2018,36424.31
2018-06-08,36723.92,0.0,Jun 2018,36723.92
2018-06-11,37198.23,0.0,Jun 2018,37198.23
2018-06-12,37050.23,0.0,Jun 2018,37050.23
2018-06-13,37311.13,0.0,Jun 2018,37311.13
2018-06-14,37258.39,0.0,Jun 2018,37258.39
2018-06-15,37264.1,0.0,Jun 2018,37264.1
2018-06-18,37041.64,0.0,Jun 2018,37041.64
2018-06-19,36160.68,0.0,Jun 2018,36160.68
2018-06-20,35960.47,0.0,Jun 2018,35960.47
2018-06-21,35385.37,0.0,Jun 2018,35385.37
2018-06-22,35226.2,0.0,Jun 2018,35226.2
2018-06-25,35267.06,0.0,Jun 2018,35267.06
2018-06-26,36187.77,0.0,Jun 2018,36187.77
2018-06-27,35865.79,0.0,Jun 2018,35865.79
2018-06-28,34743.93,0.0,Jun 2018,34743.93
2018-06-29,35072.69,0.0,Jun 2018,35072.69
2018-07-02,35730.57,0.0,Jul 2018,35730.57
2018-07-03,35405.72,0.0,Jul 2018,35405.72
2018-07-04,36117.73,0.0,Jul 2018,36117.73
2018-07-05,35530.96,0.0,Jul 2018,35530.96
2018-07-06,35451.81,0.0,Jul 2018,35451.81
2018-07-09,35546.81,0.0,Jul 2018,35546.81
2018-07-10,35607.39,0.0,Jul 2018,35607.39
2018-07-11,35833.26,0.0,Jul 2018,35833.26
2018-07-12,35754.17,0.0,Jul 2018,35754.17
2018-07-13,35632.06,0.0,Jul 2018,35632.06
2018-07-16,34784.81,0.0,Jul 2018,34784.81
2018-07-17,34858.44,0.0,Jul 2018,34858.44
2018-07-18,34517.41,0.0,Jul 2018,34517.41
2018-07-19,34560.17,0.0,Jul 2018,34560.17
2018-07-20,35085.86,0.0,Jul 2018,35085.86
2018-07-23,35275.4,0.0,Jul 2018,35275.4
2018-07-24,35893.17,0.0,Jul 2018,35893.17
2018-07-25,36009.86,0.0,Jul 2018,36009.86
2018-07-26,35636.45,0.0,Jul 2018,35636.45
2018-07-27,35555.48,0.0,Jul 2018,35555.48
2018-07-30,35927.94,0.0,Jul 2018,35927.94
2018-07-31,36618.49,0.0,Jul 2018,36618.49
2018-08-01,36626.42,0.0,Aug 2018,36626.42
2018-08-02,36573.57,0.0,Aug 2018,36573.57
2018-08-03,37425.55,0.0,Aug 2018,37425.55
2018-08-06,37690.6,0.0,Aug 2018,37690.6
2018-08-07,36675.13,0.0,Aug 2018,36675.13
2018-08-08,36576.3,0.0,Aug 2018,36576.3
2018-08-09,37129.06,0.0,Aug 2018,37129.06
2018-08-10,36922.68,0.0,Aug 2018,36922.68
2018-08-13,37082.37,0.0,Aug 2018,37082.37
2018-08-14,37266.24,0.0,Aug 2018,37266.24
2018-08-16,37476.25,0.0,Aug 2018,37476.25
2018-08-17,37640.34,0.0,Aug 2018,37640.34
2018-08-20,37526.92,0.0,Aug 2018,37526.92
2018-08-21,37415.83,0.0,Aug 2018,37415.83
2018-08-23,37279.1,0.0,Aug 2018,37279.1
2018-08-24,37146.03,0.0,Aug 2018,37146.03
2018-08-27,37391.26,0.0,Aug 2018,37391.26
2018-08-28,37359.99,0.0,Aug 2018,37359.99
2018-08-29,37408.88,0.0,Aug 2018,37408.88
2018-08-30,37518.95,0.0,Aug 2018,37518.95
2018-08-31,37378.2,0.0,Aug 2018,37378.2
2018-09-03,36824.52,0.0,Sep 2018,36824.52
2018-09-04,36450.27,0.0,Sep 2018,36450.27
2018-09-05,36284.56,0.0,Sep 2018,36284.56
2018-09-06,36325.75,0.0,Sep 2018,36325.75
2018-09-07,36390.65,0.0,Sep 2018,36390.65
2018-09-10,35965.17,0.0,Sep 2018,35965.17
2018-09-11,35583.84,0.0,Sep 2018,35583.84
2018-09-12,35642.04,0.0,Sep 2018,35642.04
2018-09-14,36042.82,0.0,Sep 2018,36042.82
2018-09-17,36881.63,0.0,Sep 2018,36881.63
2018-09-18,36677.63,0.0,Sep 2018,36677.63
2018-09-19,36512.17,0.0,Sep 2018,36512.17
2018-09-21,35807.75,0.0,Sep 2018,35807.75
2018-09-24,35402.82,0.0,Sep 2018,35402.82
2018-09-25,35549.46,0.0,Sep 2018,35549.46
2018-09-26,35359.4,0.0,Sep 2018,35359.4
2018-09-27,35101.92,0.0,Sep 2018,35101.92
2018-09-28,34447.16,0.0,Sep 2018,34447.16
2018-10-01,34619.01,0.0,Oct 2018,34619.01
2018-10-03,34164.89,0.0,Oct 2018,34164.89
2018-10-04,33272.67,0.0,Oct 2018,33272.67
