Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
May 2017,2017-05-31,0.0,39679.19,3306.598958,0.0,426.85,0.0,426.85,426.85,0.0,39676.89
Jun 2017,2017-06-30,0.0,42665.96,3555.496738,0.0,659.25,0.0,659.25,659.25,0.0,42701.38
Jul 2017,2017-07-31,0.0,46005.42,3833.784686,0.0,1091.14,0.0,1091.14,1091.14,0.0,45990.94
Aug 2017,2017-08-31,0.0,44824.18,3735.348416,0.0,387.46,0.0,387.46,387.46,0.0,44820.45
Sep 2017,2017-09-29,0.0,44789.49,3732.457368,0.0,0.0,0.0,0.0,0.0,0.0,44789.49
Oct 2017,2017-10-31,0.0,45128.43,3760.702831,0.0,4490.32,0.0,4490.32,4490.32,0.0,45329.59
Nov 2017,2017-11-30,0.0,44542.23,3711.852189,0.0,0.0,0.0,0.0,0.0,0.0,44542.23
Dec 2017,2017-12-29,0.0,46535.32,3877.94374,0.0,17.79,0.0,17.79,17.79,0.0,46536.37
Jan 2018,2018-01-31,0.0,44058.15,3671.512179,0.0,59.81,0.0,59.81,59.81,0.0,44057.51
Feb 2018,2018-02-28,0.0,45675.63,3806.302391,0.0,11036.51,0.0,11036.51,11036.51,0.0,45328.07
Mar 2018,2018-03-28,0.0,45542.62,3795.218088,0.0,998.97,0.0,998.97,998.97,0.0,45448.28
Apr 2018,2018-04-30,0.0,48883.75,4073.646158,0.0,219.95,0.0,219.95,219.95,0.0,48882.71
May 2018,2018-05-31,0.0,48297.39,4024.782267,0.0,3098.33,0.0,3098.33,3098.33,0.0,48256.33
Jun 2018,2018-06-29,0.0,48694.59,4057.882227,0.0,403.36,0.0,403.36,403.36,0.0,48666.0
Jul 2018,2018-07-31,0.0,53310.71,4442.559156,0.0,968.64,0.0,968.64,968.64,0.0,53295.32
Aug 2018,2018-08-31,0.0,56160.76,4680.063043,0.0,442.81,0.0,442.81,442.81,0.0,56190.95
Sep 2018,2018-09-28,0.0,46731.74,3894.311675,0.0,3893.19,0.0,3893.19,3893.19,0.0,46022.11
Oct 2018,2018-10-31,0.0,47996.84,3999.736917,0.0,770.72,0.0,770.72,770.72,0.0,47992.68
Nov 2018,2018-11-30,0.0,50900.25,4241.687291,0.0,1666.2,0.0,1666.2,1666.2,0.0,50991.41
Dec 2018,2018-12-31,0.0,52438.02,4369.83498,0.0,72.74,0.0,72.74,72.74,0.0,52436.25
Jan 2019,2019-01-31,0.0,52766.7,4397.224989,0.0,1167.05,0.0,1167.05,1167.05,0.0,52829.94
Feb 2019,2019-02-28,0.0,51872.92,4322.743606,0.0,0.0,0.0,0.0,0.0,0.0,51872.92
Mar 2019,2019-03-29,0.0,57764.55,4813.712222,0.0,0.0,0.0,0.0,0.0,0.0,57764.55
Apr 2019,2019-04-30,0.0,58968.78,4914.06525,0.0,10706.8,0.0,10706.8,10706.8,0.0,58948.64
May 2019,2019-05-31,0.0,65133.41,5427.784022,0.0,133.68,0.0,133.68,133.68,0.0,65148.96
Jun 2019,2019-06-28,0.0,66480.36,5540.029855,0.0,97.71,0.0,97.71,97.71,0.0,66479.2
