Date,Portfolio_Value,Bank,Equity
2017-02-14,21159.3,0.0,21159.3
2017-02-15,21027.45,0.0,21027.45
2017-02-16,21390.12,0.0,21390.12
2017-02-17,21301.97,0.0,21301.97
2017-02-20,21459.36,0.0,21459.36
2017-02-21,21455.58,0.0,21455.58
2017-02-22,21432.63,0.0,21432.63
2017-02-23,21415.24,0.0,21415.24
2017-02-27,21564.11,0.0,21564.11
2017-02-28,21627.31,0.0,21627.31
2017-03-01,21610.69,0.0,21610.69
2017-03-02,21312.96,0.0,21312.96
2017-03-03,21380.52,0.0,21380.52
2017-03-06,21499.93,0.0,21499.93
2017-03-07,21521.65,0.0,21521.65
2017-03-08,21571.43,0.0,21571.43
2017-03-09,21527.35,0.0,21527.35
2017-03-10,21478.65,0.0,21478.65
2017-03-14,21726.45,0.0,21726.45
2017-03-15,21765.01,0.0,21765.01
2017-03-16,22108.87,0.0,22108.87
2017-03-17,22174.56,0.0,22174.56
2017-03-20,22229.81,0.0,22229.81
2017-03-21,22148.43,0.0,22148.43
2017-03-22,21966.4,0.0,21966.4
2017-03-23,22179.5,0.0,22179.5
2017-03-24,22192.75,0.0,22192.75
2017-03-27,22177.08,0.0,22177.08
2017-03-28,22325.43,0.0,22325.43
2017-03-29,22160.27,0.0,22160.27
2017-03-30,22146.73,0.0,22146.73
2017-03-31,22270.41,0.0,22270.41
2017-04-03,22424.84,0.0,22424.84
2017-04-05,22514.85,0.0,22514.85
2017-04-06,22522.34,0.0,22522.34
2017-04-07,22630.41,0.0,22630.41
2017-04-10,22955.68,0.0,22955.68
2017-04-11,23265.88,0.0,23265.88
2017-04-12,23368.59,0.0,23368.59
2017-04-13,23440.57,0.0,23440.57
2017-04-17,23460.08,0.0,23460.08
2017-04-18,23318.42,0.0,23318.42
2017-04-19,23388.82,0.0,23388.82
2017-04-20,23615.8,0.0,23615.8
2017-04-21,23551.41,0.0,23551.41
2017-04-24,23709.18,0.0,23709.18
2017-04-25,24063.75,0.0,24063.75
2017-04-26,23789.2,0.0,23789.2
2017-04-27,23709.14,0.0,23709.14
2017-04-28,23666.52,0.0,23666.52
2017-05-02,23726.77,0.0,23726.77
2017-05-03,23590.65,0.0,23590.65
2017-05-04,23821.32,0.0,23821.32
2017-05-05,23698.26,0.0,23698.26
2017-05-08,23720.02,0.0,23720.02
2017-05-09,23829.81,0.0,23829.81
2017-05-10,24059.5,0.0,24059.5
2017-05-11,23984.4,0.0,23984.4
2017-05-12,23757.72,0.0,23757.72
2017-05-15,24336.1,0.0,24336.1
2017-05-16,24724.17,0.0,24724.17
2017-05-17,24835.61,0.0,24835.61
2017-05-18,24696.24,0.0,24696.24
2017-05-19,24429.46,0.0,24429.46
2017-05-22,23856.59,0.0,23856.59
2017-05-23,23692.46,0.0,23692.46
2017-05-24,23556.04,0.0,23556.04
2017-05-25,23928.42,0.0,23928.42
2017-05-26,24603.98,0.0,24603.98
2017-05-29,24439.88,0.0,24439.88
2017-05-30,24592.05,0.0,24592.05
2017-05-31,24839.09,0.0,24839.09
2017-06-01,25041.87,0.0,25041.87
2017-06-02,25173.35,0.0,25173.35
2017-06-05,25381.93,0.0,25381.93
2017-06-06,25382.71,0.0,25382.71
2017-06-07,25396.17,0.0,25396.17
2017-06-08,25498.97,0.0,25498.97
2017-06-09,25566.58,0.0,25566.58
2017-06-12,25440.94,0.0,25440.94
2017-06-13,25494.19,0.0,25494.19
2017-06-14,25366.78,0.0,25366.78
2017-06-15,25502.87,0.0,25502.87
2017-06-16,25538.71,0.0,25538.71
2017-06-19,25555.98,0.0,25555.98
2017-06-20,25760.98,0.0,25760.98
2017-06-21,25696.42,0.0,25696.42
2017-06-22,25546.02,0.0,25546.02
2017-06-23,25448.08,0.0,25448.08
