Month,Holdings_Count,M_Universe_Size,Optimization_Type
Dec 2018,21,42,CrossEntropy_Portfolio_Sharpe
Jan 2019,22,41,CrossEntropy_Portfolio_Sharpe
Feb 2019,23,43,CrossEntropy_Portfolio_Sharpe
Mar 2019,23,39,CrossEntropy_Portfolio_Sharpe
Apr 2019,23,44,CrossEntropy_Portfolio_Sharpe
May 2019,24,44,CrossEntropy_Portfolio_Sharpe
Jun 2019,26,48,CrossEntropy_Portfolio_Sharpe
Jul 2019,25,49,CrossEntropy_Portfolio_Sharpe
Aug 2019,22,46,CrossEntropy_Portfolio_Sharpe
Sep 2019,21,46,CrossEntropy_Portfolio_Sharpe
Oct 2019,21,43,CrossEntropy_Portfolio_Sharpe
Nov 2019,21,45,CrossEntropy_Portfolio_Sharpe
Dec 2019,20,44,CrossEntropy_Portfolio_Sharpe
Jan 2020,22,44,CrossEntropy_Portfolio_Sharpe
Feb 2020,24,43,CrossEntropy_Portfolio_Sharpe
Mar 2020,22,40,CrossEntropy_Portfolio_Sharpe
Apr 2020,22,42,CrossEntropy_Portfolio_Sharpe
May 2020,20,41,CrossEntropy_Portfolio_Sharpe
Jun 2020,21,43,CrossEntropy_Portfolio_Sharpe
Jul 2020,23,55,CrossEntropy_Portfolio_Sharpe
Aug 2020,23,53,CrossEntropy_Portfolio_Sharpe
Sep 2020,24,53,CrossEntropy_Portfolio_Sharpe
Oct 2020,26,55,CrossEntropy_Portfolio_Sharpe
Nov 2020,27,60,CrossEntropy_Portfolio_Sharpe
Dec 2020,26,57,CrossEntropy_Portfolio_Sharpe
Jan 2021,27,57,CrossEntropy_Portfolio_Sharpe
Feb 2021,27,56,CrossEntropy_Portfolio_Sharpe
Mar 2021,29,56,CrossEntropy_Portfolio_Sharpe
Apr 2021,30,59,CrossEntropy_Portfolio_Sharpe
May 2021,30,56,CrossEntropy_Portfolio_Sharpe
Jun 2021,31,60,CrossEntropy_Portfolio_Sharpe
Jul 2021,32,63,CrossEntropy_Portfolio_Sharpe
Aug 2021,33,61,CrossEntropy_Portfolio_Sharpe
Sep 2021,31,61,CrossEntropy_Portfolio_Sharpe
Oct 2021,31,57,CrossEntropy_Portfolio_Sharpe
Nov 2021,32,57,CrossEntropy_Portfolio_Sharpe
Dec 2021,33,58,CrossEntropy_Portfolio_Sharpe
Jan 2022,33,60,CrossEntropy_Portfolio_Sharpe
Feb 2022,29,56,CrossEntropy_Portfolio_Sharpe
Mar 2022,27,52,CrossEntropy_Portfolio_Sharpe
Apr 2022,29,53,CrossEntropy_Portfolio_Sharpe
May 2022,27,53,CrossEntropy_Portfolio_Sharpe
Jun 2022,28,55,CrossEntropy_Portfolio_Sharpe
Jul 2022,31,71,CrossEntropy_Portfolio_Sharpe
Aug 2022,31,71,CrossEntropy_Portfolio_Sharpe
Sep 2022,28,62,CrossEntropy_Portfolio_Sharpe
Oct 2022,28,67,CrossEntropy_Portfolio_Sharpe
Nov 2022,27,69,CrossEntropy_Portfolio_Sharpe
Dec 2022,25,66,CrossEntropy_Portfolio_Sharpe
Jan 2023,29,69,CrossEntropy_Portfolio_Sharpe
Feb 2023,31,73,CrossEntropy_Portfolio_Sharpe
Mar 2023,31,69,CrossEntropy_Portfolio_Sharpe
Apr 2023,30,74,CrossEntropy_Portfolio_Sharpe
May 2023,34,77,CrossEntropy_Portfolio_Sharpe
Jun 2023,35,82,CrossEntropy_Portfolio_Sharpe
Jul 2023,36,84,CrossEntropy_Portfolio_Sharpe
Aug 2023,39,83,CrossEntropy_Portfolio_Sharpe
Sep 2023,40,83,CrossEntropy_Portfolio_Sharpe
Oct 2023,42,88,CrossEntropy_Portfolio_Sharpe
Nov 2023,37,85,CrossEntropy_Portfolio_Sharpe
Dec 2023,40,95,CrossEntropy_Portfolio_Sharpe
Jan 2024,36,87,CrossEntropy_Portfolio_Sharpe
Feb 2024,37,87,CrossEntropy_Portfolio_Sharpe
Mar 2024,37,88,CrossEntropy_Portfolio_Sharpe
Apr 2024,38,82,CrossEntropy_Portfolio_Sharpe
May 2024,37,83,CrossEntropy_Portfolio_Sharpe
Jun 2024,38,88,CrossEntropy_Portfolio_Sharpe
Jul 2024,34,87,CrossEntropy_Portfolio_Sharpe
Aug 2024,35,87,CrossEntropy_Portfolio_Sharpe
Sep 2024,36,88,CrossEntropy_Portfolio_Sharpe
Oct 2024,37,92,CrossEntropy_Portfolio_Sharpe
Nov 2024,38,85,CrossEntropy_Portfolio_Sharpe
Dec 2024,39,87,CrossEntropy_Portfolio_Sharpe
Jan 2025,39,88,CrossEntropy_Portfolio_Sharpe
Feb 2025,35,82,CrossEntropy_Portfolio_Sharpe
Mar 2025,35,80,CrossEntropy_Portfolio_Sharpe
Apr 2025,35,82,CrossEntropy_Portfolio_Sharpe
May 2025,35,73,CrossEntropy_Portfolio_Sharpe
Jun 2025,34,77,CrossEntropy_Portfolio_Sharpe
Jul 2025,31,71,CrossEntropy_Portfolio_Sharpe
Aug 2025,28,68,CrossEntropy_Portfolio_Sharpe
Sep 2025,27,62,CrossEntropy_Portfolio_Sharpe
Oct 2025,25,64,CrossEntropy_Portfolio_Sharpe
Nov 2025,28,66,CrossEntropy_Portfolio_Sharpe
Dec 2025,28,62,CrossEntropy_Portfolio_Sharpe
Jan 2026,28,68,CrossEntropy_Portfolio_Sharpe
Feb 2026,28,63,CrossEntropy_Portfolio_Sharpe
Mar 2026,26,58,CrossEntropy_Portfolio_Sharpe
Apr 2026,24,60,CrossEntropy_Portfolio_Sharpe
