Month,Date,Ticker,Quantity,Current_Price,Current_Amount
Oct 2016,2016-10-03,BPCL.NS,5.615913,209.25,1175.13
Oct 2016,2016-10-03,AARTIIND.NS,19.971544,156.67,3128.95
Oct 2016,2016-10-03,ZENSARTECH.NS,10.30212,201.97,2080.72
Oct 2016,2016-10-03,IGL.NS,30.464362,79.08,2409.12
Oct 2016,2016-10-03,CANFINHOME.NS,2.938948,336.45,988.81
Oct 2016,2016-10-03,BAJFINANCE.NS,31.032181,108.67,3372.27
Oct 2016,2016-10-03,TORNTPHARM.NS,0.856829,830.05,711.21
Oct 2016,2016-10-03,KEC.NS,1.62212,126.4,205.04
Oct 2016,2016-10-03,ATUL.NS,0.279057,2384.9,665.52
Oct 2016,2016-10-03,INFY.NS,0.657415,519.05,341.23
Oct 2016,2016-10-03,HAVELLS.NS,1.127327,431.2,486.1
Oct 2016,2016-10-03,VGUARD.NS,4.827469,132.14,637.92
Oct 2016,2016-10-03,HMVL.NS,0.376262,288.15,108.42
Oct 2016,2016-10-03,VAKRANGEE.NS,3.619692,110.65,400.52
Oct 2016,2016-10-03,FINCABLES.NS,1.10953,440.05,488.25
Oct 2016,2016-10-03,CHOLAFIN.NS,2.029986,236.21,479.5
Oct 2016,2016-10-03,KAJARIACER.NS,0.703873,699.28,492.2
Oct 2016,2016-10-03,AVANTIFEED.NS,1.115294,177.97,198.49
Oct 2016,2016-10-03,HINDZINC.NS,1.526335,254.45,388.38
Oct 2016,2016-10-03,JAGRAN.NS,0.58982,190.85,112.57
Oct 2016,2016-10-03,VSTIND.NS,1.184521,209.11,247.7
Oct 2016,2016-10-03,HEROMOTOCO.NS,0.03365,3521.15,118.49
Oct 2016,2016-10-03,KPRMILL.NS,1.023637,123.29,126.21
Nov 2016,2016-11-01,BPCL.NS,5.615913,225.38,1265.73
Nov 2016,2016-11-01,AARTIIND.NS,19.971544,181.27,3620.32
Nov 2016,2016-11-01,ZENSARTECH.NS,10.30212,185.97,1915.89
Nov 2016,2016-11-01,IGL.NS,31.949207,86.93,2777.5
Nov 2016,2016-11-01,CANFINHOME.NS,1.90215,372.42,708.4
Nov 2016,2016-11-01,BAJFINANCE.NS,32.249045,106.08,3420.98
Nov 2016,2016-11-01,KEC.NS,1.62212,125.65,203.82
Nov 2016,2016-11-01,ATUL.NS,0.279057,2292.6,639.77
Nov 2016,2016-11-01,HAVELLS.NS,1.444255,407.3,588.25
Nov 2016,2016-11-01,VGUARD.NS,5.669197,153.36,869.41
Nov 2016,2016-11-01,HMVL.NS,0.376262,302.85,113.95
Nov 2016,2016-11-01,VAKRANGEE.NS,4.708582,118.55,558.19
Nov 2016,2016-11-01,FINCABLES.NS,1.398925,446.05,623.99
Nov 2016,2016-11-01,CHOLAFIN.NS,2.58331,233.29,602.66
Nov 2016,2016-11-01,KAJARIACER.NS,0.703873,638.35,449.32
Nov 2016,2016-11-01,AVANTIFEED.NS,1.115294,180.17,200.94
Nov 2016,2016-11-01,HINDZINC.NS,1.999955,272.55,545.09
Nov 2016,2016-11-01,JAGRAN.NS,0.58982,194.65,114.81
Nov 2016,2016-11-01,VSTIND.NS,1.761121,223.87,394.27
Nov 2016,2016-11-01,HEROMOTOCO.NS,0.03365,3370.2,113.41
Nov 2016,2016-11-01,VINATIORGA.NS,0.436503,295.73,129.08
Nov 2016,2016-11-01,BALKRISIND.NS,0.246216,524.28,129.08
Dec 2016,2016-12-01,BPCL.NS,5.615913,209.63,1177.28
Dec 2016,2016-12-01,AARTIIND.NS,19.971544,175.22,3499.48
Dec 2016,2016-12-01,ZENSARTECH.NS,10.30212,199.21,2052.29
Dec 2016,2016-12-01,IGL.NS,33.543562,83.57,2803.07
Dec 2016,2016-12-01,CANFINHOME.NS,2.177779,338.76,737.74
Dec 2016,2016-12-01,BAJFINANCE.NS,33.706411,91.42,3081.44
Dec 2016,2016-12-01,KEC.NS,1.62212,142.7,231.48
Dec 2016,2016-12-01,ATUL.NS,0.279057,2165.7,604.35
Dec 2016,2016-12-01,VGUARD.NS,6.77355,120.64,817.18
Dec 2016,2016-12-01,HMVL.NS,0.376262,273.5,102.91
Dec 2016,2016-12-01,VAKRANGEE.NS,5.745644,128.47,738.15
Dec 2016,2016-12-01,KAJARIACER.NS,0.703873,525.45,369.85
Dec 2016,2016-12-01,AVANTIFEED.NS,1.115294,166.85,186.09
Dec 2016,2016-12-01,HINDZINC.NS,2.484436,275.0,683.22
Dec 2016,2016-12-01,JAGRAN.NS,0.58982,177.25,104.55
Dec 2016,2016-12-01,VSTIND.NS,2.422562,201.43,487.97
Dec 2016,2016-12-01,HEROMOTOCO.NS,0.03365,3190.45,107.36
Dec 2016,2016-12-01,VINATIORGA.NS,0.881241,299.58,264.0
Dec 2016,2016-12-01,BALKRISIND.NS,0.47008,595.15,279.77
Dec 2016,2016-12-01,GREENPLY.NS,0.515593,258.41,133.23
Dec 2016,2016-12-01,FINPIPE.NS,1.522829,87.49,133.23
Dec 2016,2016-12-01,BALMLAWRIE.NS,0.801317,166.27,133.23
Jan 2017,2017-01-02,BPCL.NS,6.200702,213.5,1323.85
Jan 2017,2017-01-02,AARTIIND.NS,17.355933,168.94,2932.14
Jan 2017,2017-01-02,ZENSARTECH.NS,10.30212,188.6,1942.98
Jan 2017,2017-01-02,IGL.NS,34.901613,91.93,3208.68
Jan 2017,2017-01-02,BAJFINANCE.NS,33.706411,87.0,2932.63
Jan 2017,2017-01-02,KEC.NS,1.62212,139.5,226.29
Jan 2017,2017-01-02,ATUL.NS,0.279057,2047.65,571.41
Jan 2017,2017-01-02,VGUARD.NS,7.84426,116.61,914.7
Jan 2017,2017-01-02,VAKRANGEE.NS,6.721725,127.91,859.79
Jan 2017,2017-01-02,KAJARIACER.NS,0.703873,487.7,343.28
Jan 2017,2017-01-02,AVANTIFEED.NS,1.879696,163.33,307.02
Jan 2017,2017-01-02,HINDZINC.NS,2.96547,259.55,769.69
Jan 2017,2017-01-02,VSTIND.NS,2.994672,218.23,653.53
Jan 2017,2017-01-02,HEROMOTOCO.NS,0.03365,3030.55,101.98
Jan 2017,2017-01-02,VINATIORGA.NS,0.881241,298.23,262.81
Jan 2017,2017-01-02,BALKRISIND.NS,0.699683,543.78,380.47
Jan 2017,2017-01-02,FINPIPE.NS,2.945649,87.75,258.48
Jan 2017,2017-01-02,BALMLAWRIE.NS,1.599947,156.33,250.12
Jan 2017,2017-01-02,DHANUKA.NS,0.167262,746.45,124.85
Jan 2017,2017-01-02,CANFINHOME.NS,0.378226,330.1,124.85
Feb 2017,2017-02-01,BPCL.NS,6.200702,230.92,1431.85
Feb 2017,2017-02-01,AARTIIND.NS,9.03947,177.86,1607.76
Feb 2017,2017-02-01,ZENSARTECH.NS,10.30212,176.25,1815.75
Feb 2017,2017-02-01,IGL.NS,36.184273,96.1,3477.31
Feb 2017,2017-02-01,BAJFINANCE.NS,33.706411,106.61,3593.61
Feb 2017,2017-02-01,KEC.NS,1.62212,154.25,250.21
Feb 2017,2017-02-01,ATUL.NS,0.279057,2303.85,642.9
Feb 2017,2017-02-01,VGUARD.NS,8.68606,146.43,1271.89
Feb 2017,2017-02-01,VAKRANGEE.NS,7.581985,143.29,1086.4
Feb 2017,2017-02-01,KAJARIACER.NS,0.703873,579.35,407.79
Feb 2017,2017-02-01,AVANTIFEED.NS,1.879696,188.57,354.45
Feb 2017,2017-02-01,HINDZINC.NS,3.367373,306.7,1032.77
Feb 2017,2017-02-01,VSTIND.NS,2.994672,223.53,669.4
Feb 2017,2017-02-01,HEROMOTOCO.NS,0.03365,3286.95,110.61
Feb 2017,2017-02-01,VINATIORGA.NS,1.212639,371.95,451.04
Feb 2017,2017-02-01,BALKRISIND.NS,0.914054,575.0,525.58
Feb 2017,2017-02-01,FINPIPE.NS,4.197946,98.43,413.2
Feb 2017,2017-02-01,BALMLAWRIE.NS,1.599947,148.97,238.34
Feb 2017,2017-02-01,DHANUKA.NS,0.167262,720.65,120.54
Feb 2017,2017-02-01,CANFINHOME.NS,0.70257,380.04,267.0
Feb 2017,2017-02-01,FINCABLES.NS,0.276748,445.4,123.26
Feb 2017,2017-02-01,KRBL.NS,0.324506,379.85,123.26
Feb 2017,2017-02-01,HIMATSEIDE.NS,0.358742,343.6,123.26
Feb 2017,2017-02-01,EXIDEIND.NS,0.607659,202.85,123.26
Mar 2017,2017-03-01,BPCL.NS,6.200702,219.82,1363.02
Mar 2017,2017-03-01,AARTIIND.NS,1.728661,188.2,325.33
Mar 2017,2017-03-01,ZENSARTECH.NS,10.30212,184.15,1897.14
Mar 2017,2017-03-01,IGL.NS,36.184273,105.01,3799.89
Mar 2017,2017-03-01,BAJFINANCE.NS,33.706411,107.58,3626.3
Mar 2017,2017-03-01,KEC.NS,1.62212,168.0,272.52
Mar 2017,2017-03-01,ATUL.NS,0.279057,2223.7,620.54
Mar 2017,2017-03-01,VGUARD.NS,9.505414,164.86,1567.04
Mar 2017,2017-03-01,VAKRANGEE.NS,7.581985,146.97,1114.3
Mar 2017,2017-03-01,KAJARIACER.NS,0.703873,581.7,409.44
Mar 2017,2017-03-01,AVANTIFEED.NS,2.478527,225.57,559.07
Mar 2017,2017-03-01,HINDZINC.NS,3.791874,318.2,1206.57
Mar 2017,2017-03-01,VSTIND.NS,3.533752,250.57,885.45
Mar 2017,2017-03-01,HEROMOTOCO.NS,0.03365,3178.15,106.95
Mar 2017,2017-03-01,VINATIORGA.NS,1.588897,359.0,570.41
Mar 2017,2017-03-01,BALKRISIND.NS,1.12023,655.15,733.92
Mar 2017,2017-03-01,FINPIPE.NS,5.446456,108.19,589.25
Mar 2017,2017-03-01,BALMLAWRIE.NS,2.557256,141.1,360.83
Mar 2017,2017-03-01,DHANUKA.NS,0.167262,782.15,130.82
Mar 2017,2017-03-01,CANFINHOME.NS,0.70257,397.88,279.54
Mar 2017,2017-03-01,HIMATSEIDE.NS,0.737797,356.35,262.91
Mar 2017,2017-03-01,EXIDEIND.NS,0.607659,212.5,129.13
Mar 2017,2017-03-01,RECLTD.NS,1.174449,115.01,135.08
Mar 2017,2017-03-01,KSCL.NS,0.272002,496.6,135.08
Mar 2017,2017-03-01,HINDPETRO.NS,0.586099,230.47,135.08
Apr 2017,2017-04-03,BPCL.NS,6.200702,212.8,1319.51
Apr 2017,2017-04-03,ZENSARTECH.NS,9.709151,185.01,1796.29
Apr 2017,2017-04-03,IGL.NS,36.184273,101.46,3671.44
Apr 2017,2017-04-03,BAJFINANCE.NS,33.706411,118.18,3983.26
Apr 2017,2017-04-03,VGUARD.NS,10.314783,174.75,1802.51
Apr 2017,2017-04-03,VAKRANGEE.NS,8.504304,153.35,1304.13
Apr 2017,2017-04-03,KAJARIACER.NS,0.703873,599.95,422.29
Apr 2017,2017-04-03,AVANTIFEED.NS,3.024336,259.13,783.71
Apr 2017,2017-04-03,HINDZINC.NS,3.791874,291.6,1105.71
Apr 2017,2017-04-03,VSTIND.NS,4.076868,260.42,1061.69
Apr 2017,2017-04-03,HEROMOTOCO.NS,0.03365,3202.15,107.75
Apr 2017,2017-04-03,VINATIORGA.NS,1.968289,372.8,733.78
Apr 2017,2017-04-03,BALKRISIND.NS,1.320851,705.0,931.2
Apr 2017,2017-04-03,FINPIPE.NS,5.446456,118.04,642.9
Apr 2017,2017-04-03,BALMLAWRIE.NS,3.447919,158.8,547.53
Apr 2017,2017-04-03,DHANUKA.NS,0.167262,795.55,133.06
Apr 2017,2017-04-03,CANFINHOME.NS,0.70257,464.86,326.6
Apr 2017,2017-04-03,EXIDEIND.NS,0.607659,230.0,139.76
Apr 2017,2017-04-03,RECLTD.NS,2.223298,134.85,299.81
Apr 2017,2017-04-03,KSCL.NS,0.272002,557.0,151.51
Apr 2017,2017-04-03,HINDPETRO.NS,1.19974,230.49,276.53
Apr 2017,2017-04-03,SHILPI.NS,0.636818,222.1,141.44
Apr 2017,2017-04-03,MRF.NS,0.002319,60993.55,141.44
Apr 2017,2017-04-03,RATNAMANI.NS,0.275206,513.93,141.44
