Month,Date,Investment_Amount,M_Universe_Size,Value_Filter_2_50%_Stocks,Momentum_Filter_2_50%_Stocks,Current_Portfolio_Stocks,Stocks_Selected,Optimization,Iteration_Count
Nov 2016,2016-11-01,1549.02,40,30,7,20,12,Greedy_Portfolio_Sharpe,0
Dec 2016,2016-12-01,1598.79,43,31,9,19,12,Greedy_Portfolio_Sharpe,0
Jan 2017,2017-01-02,1498.23,40,31,9,18,12,Greedy_Portfolio_Sharpe,0
Feb 2017,2017-02-01,1479.16,43,30,10,20,12,Greedy_Portfolio_Sharpe,0
Mar 2017,2017-03-01,1620.92,43,31,11,22,12,Greedy_Portfolio_Sharpe,0
Apr 2017,2017-04-03,1697.25,40,31,9,21,12,Greedy_Portfolio_Sharpe,0
May 2017,2017-05-02,1757.22,41,32,9,23,12,Greedy_Portfolio_Sharpe,0
Jun 2017,2017-06-01,1850.4,42,31,11,21,12,Greedy_Portfolio_Sharpe,0
Jul 2017,2017-07-03,1925.48,49,35,7,21,12,Greedy_Portfolio_Sharpe,0
Aug 2017,2017-08-01,2000.3,47,34,6,20,12,Greedy_Portfolio_Sharpe,0
Sep 2017,2017-09-01,2134.88,45,34,7,16,12,Greedy_Portfolio_Sharpe,0
Oct 2017,2017-10-03,2180.92,45,35,6,17,12,Greedy_Portfolio_Sharpe,0
Nov 2017,2017-11-01,2297.35,44,32,6,19,12,Greedy_Portfolio_Sharpe,0
Dec 2017,2017-12-01,2465.01,47,34,10,20,12,Greedy_Portfolio_Sharpe,0
Jan 2018,2018-01-01,2442.5,44,32,10,20,12,Greedy_Portfolio_Sharpe,0
Feb 2018,2018-02-01,2566.2,42,34,5,21,12,Greedy_Portfolio_Sharpe,0
Mar 2018,2018-03-01,2483.46,44,34,8,20,12,Greedy_Portfolio_Sharpe,0
Apr 2018,2018-04-02,2423.97,44,33,11,18,12,Greedy_Portfolio_Sharpe,0
May 2018,2018-05-02,2383.29,44,34,8,18,12,Greedy_Portfolio_Sharpe,0
Jun 2018,2018-06-01,2478.3,43,34,8,19,12,Greedy_Portfolio_Sharpe,0
Jul 2018,2018-07-02,2433.21,46,33,11,18,12,Greedy_Portfolio_Sharpe,0
Aug 2018,2018-08-01,2410.1,42,32,7,20,12,Greedy_Portfolio_Sharpe,0
Sep 2018,2018-09-03,2679.3,39,31,6,19,12,Greedy_Portfolio_Sharpe,0
Oct 2018,2018-10-01,2693.75,42,34,7,19,12,Greedy_Portfolio_Sharpe,0
Nov 2018,2018-11-01,2408.39,40,34,6,22,12,Greedy_Portfolio_Sharpe,0
Dec 2018,2018-12-03,2427.4,41,34,8,20,12,Greedy_Portfolio_Sharpe,0
Jan 2019,2019-01-01,2432.06,40,34,6,19,12,Greedy_Portfolio_Sharpe,0
Feb 2019,2019-02-01,2496.83,41,34,7,19,12,Greedy_Portfolio_Sharpe,0
Mar 2019,2019-03-01,2552.81,39,33,5,20,12,Greedy_Portfolio_Sharpe,0
Apr 2019,2019-04-01,2523.87,43,33,8,20,12,Greedy_Portfolio_Sharpe,0
May 2019,2019-05-02,2742.82,44,34,7,20,12,Greedy_Portfolio_Sharpe,0
Jun 2019,2019-06-03,2807.4,48,34,10,21,12,Greedy_Portfolio_Sharpe,0
Jul 2019,2019-07-01,2995.93,49,36,8,21,12,Greedy_Portfolio_Sharpe,0
