Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Apr 2016,2016-04-29,0.0,21050.93,1754.244101,167.01,0.0,167.01,167.01,0.0,21057.67,1
May 2016,2016-05-31,0.0,21942.01,1828.500954,0.0,0.0,0.0,0.0,0.0,21942.01,0
Jun 2016,2016-06-30,0.0,22634.63,1886.219376,532.91,0.0,532.91,532.91,0.0,22648.57,2
Jul 2016,2016-07-29,0.0,26079.14,2173.261917,177.29,0.0,177.29,177.29,0.0,26099.63,1
Aug 2016,2016-08-31,0.0,28989.8,2415.81692,0.0,0.0,0.0,0.0,0.0,28989.8,0
Sep 2016,2016-09-30,0.0,29468.22,2455.685196,627.07,0.0,627.07,627.07,0.0,29486.97,3
Oct 2016,2016-10-28,0.0,31138.76,2594.896933,618.99,0.0,618.99,618.99,0.0,31155.84,2
Nov 2016,2016-11-30,0.0,28432.81,2369.400759,269.93,0.0,269.93,269.93,0.0,28403.94,2
Dec 2016,2016-12-30,0.0,26758.7,2229.891774,72.97,0.0,72.97,72.97,0.0,26756.48,2
Jan 2017,2017-01-31,0.0,30506.07,2542.172169,44.4,0.0,44.4,44.4,0.0,30510.72,1
Feb 2017,2017-02-28,0.0,32093.06,2674.421721,0.0,0.0,0.0,0.0,0.0,32093.06,0
Mar 2017,2017-03-31,0.0,33886.36,2823.86352,0.0,0.0,0.0,0.0,0.0,33886.36,0
Apr 2017,2017-04-28,0.0,37707.97,3142.33087,506.11,0.0,506.11,506.11,0.0,37764.66,2
May 2017,2017-05-31,0.0,39039.48,3253.290412,540.56,0.0,540.56,540.56,0.0,39046.59,3
Jun 2017,2017-06-30,0.0,41885.35,3490.446224,369.45,0.0,369.45,369.45,0.0,41898.11,4
Jul 2017,2017-07-31,0.0,45086.17,3757.180491,1077.07,0.0,1077.07,1077.07,0.0,45094.76,4
Aug 2017,2017-08-31,0.0,44107.06,3675.58858,293.46,0.0,293.46,293.46,0.0,44104.24,3
Sep 2017,2017-09-29,0.0,44074.97,3672.914254,0.0,0.0,0.0,0.0,0.0,44074.97,0
Oct 2017,2017-10-31,0.0,44120.72,3676.727057,3676.73,0.0,3676.73,3676.73,0.0,44285.43,6
Nov 2017,2017-11-30,0.0,43844.87,3653.739466,601.52,0.0,601.52,601.52,0.0,43813.25,3
Dec 2017,2017-12-29,0.0,45742.95,3811.912191,18.69,0.0,18.69,18.69,0.0,45743.48,1
Jan 2018,2018-01-31,0.0,43222.31,3601.858781,121.31,0.0,121.31,121.31,0.0,43220.8,2
Feb 2018,2018-02-28,0.0,44558.92,3713.24345,3713.24,0.0,3713.24,3713.24,0.0,44441.98,4
Mar 2018,2018-03-28,0.0,44419.69,3701.641064,839.23,0.0,839.23,839.23,0.0,44358.56,6
Apr 2018,2018-04-30,0.0,46474.36,3872.863357,118.71,0.0,118.71,118.71,0.0,46473.8,1
May 2018,2018-05-31,0.0,45928.47,3827.372139,3827.37,0.0,3827.37,3827.37,0.0,45877.74,11
Jun 2018,2018-06-29,0.0,46287.7,3857.308066,2875.14,0.0,2875.14,2875.14,0.0,46057.94,28
Jul 2018,2018-07-31,0.0,50335.75,4194.645581,358.37,0.0,358.37,358.37,0.0,50330.05,4
Aug 2018,2018-08-31,0.0,53351.63,4445.969579,1563.15,0.0,1563.15,1563.15,0.0,53414.27,9
Sep 2018,2018-09-28,0.0,44001.17,3666.764511,2175.81,0.0,2175.81,2175.81,0.0,43659.54,7
Oct 2018,2018-10-31,0.0,46116.81,3843.067475,792.03,0.0,792.03,792.03,0.0,46107.03,3
Nov 2018,2018-11-30,0.0,49057.19,4088.099104,831.64,0.0,831.64,831.64,0.0,49089.44,4
Dec 2018,2018-12-31,0.0,50547.79,4212.315962,0.0,0.0,0.0,0.0,0.0,50547.79,0
Jan 2019,2019-01-31,0.0,51015.95,4251.32889,965.26,0.0,965.26,965.26,0.0,51068.25,5
Feb 2019,2019-02-28,0.0,50150.15,4179.179471,0.0,0.0,0.0,0.0,0.0,50150.15,0
Mar 2019,2019-03-29,0.0,55683.14,4640.261649,0.0,0.0,0.0,0.0,0.0,55683.14,0
Apr 2019,2019-04-30,0.0,56966.62,4747.218048,4747.22,0.0,4747.22,4747.22,0.0,56957.68,5
