Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
BAJAJ-AUTO.NS,0.053554,1777.03,95.17,2164.27,115.91,0.678,Jun 2016,2016-06-30
TIDEWATER.NS,0.378435,305.37,115.56,276.5,104.64,0.612,Jun 2016,2016-06-30
TVSSRICHAK.NS,0.010803,2138.41,23.1,2202.2,23.79,0.139,Jun 2016,2016-06-30
VSTIND.NS,643.668064,4.78,3076.98,9.27,5964.2,31.178,Jul 2016,2016-07-29
BALKRISIND.NS,0.599085,278.2,166.67,337.3,202.07,1.056,Jul 2016,2016-07-29
TORNTPHARM.NS,3.882747,499.03,1937.6,637.73,2476.14,12.944,Jul 2016,2016-07-29
ZENSARTECH.NS,20.029174,126.97,2543.14,185.72,3719.76,19.445,Jul 2016,2016-07-29
KAJARIACER.NS,0.215307,458.08,98.63,592.17,127.5,0.667,Jul 2016,2016-07-29
RATNAMANI.NS,5.92531,367.88,2179.82,329.43,1951.98,10.204,Jul 2016,2016-07-29
VINATIORGA.NS,3.139546,262.29,823.46,265.68,834.1,4.36,Jul 2016,2016-07-29
BAJFINANCE.NS,2.356326,549.77,1295.44,1013.84,2388.95,12.488,Jul 2016,2016-07-29
INFY.NS,1.17187,457.42,536.03,431.86,506.09,2.646,Jul 2016,2016-07-29
IGL.NS,5.582101,97.5,544.27,115.16,642.86,3.361,Jul 2016,2016-07-29
BAJAJ-AUTO.NS,0.053554,1777.03,95.17,2177.1,116.59,0.609,Jul 2016,2016-07-29
TIDEWATER.NS,0.437883,300.96,131.78,277.58,121.55,0.635,Jul 2016,2016-07-29
TVSSRICHAK.NS,0.010803,2138.41,23.1,2155.95,23.29,0.122,Jul 2016,2016-07-29
AVANTIFEED.NS,0.104122,155.8,16.22,182.57,19.01,0.099,Jul 2016,2016-07-29
AARTIIND.NS,0.130152,124.64,16.22,131.41,17.1,0.089,Jul 2016,2016-07-29
VGUARD.NS,0.168268,96.41,16.22,110.18,18.54,0.097,Jul 2016,2016-07-29
VSTIND.NS,680.279899,5.03,3422.81,16.76,11403.37,45.042,Aug 2016,2016-08-31
BALKRISIND.NS,0.599085,278.2,166.67,405.96,243.21,0.961,Aug 2016,2016-08-31
TORNTPHARM.NS,1.010853,561.44,567.53,722.51,730.35,2.885,Aug 2016,2016-08-31
ZENSARTECH.NS,20.029174,126.97,2543.14,190.13,3808.18,15.042,Aug 2016,2016-08-31
KAJARIACER.NS,0.798484,556.62,444.46,590.59,471.57,1.863,Aug 2016,2016-08-31
RATNAMANI.NS,5.92531,367.88,2179.82,349.4,2070.32,8.177,Aug 2016,2016-08-31
VINATIORGA.NS,3.139546,262.29,823.46,288.66,906.26,3.58,Aug 2016,2016-08-31
BAJFINANCE.NS,2.671496,614.36,1641.27,1076.25,2875.19,11.357,Aug 2016,2016-08-31
INFY.NS,1.17187,457.42,536.03,416.58,488.18,1.928,Aug 2016,2016-08-31
IGL.NS,8.578795,103.76,890.1,142.31,1220.81,4.822,Aug 2016,2016-08-31
BAJAJ-AUTO.NS,0.053554,1777.03,95.17,2400.95,128.58,0.508,Aug 2016,2016-08-31
TIDEWATER.NS,0.437883,300.96,131.78,269.49,118.0,0.466,Aug 2016,2016-08-31
TVSSRICHAK.NS,0.010803,2138.41,23.1,2391.27,25.83,0.102,Aug 2016,2016-08-31
AVANTIFEED.NS,0.104122,155.8,16.22,167.11,17.4,0.069,Aug 2016,2016-08-31
AARTIIND.NS,0.130152,124.64,16.22,146.68,19.09,0.075,Aug 2016,2016-08-31
VGUARD.NS,3.189943,113.5,362.05,131.73,420.21,1.66,Aug 2016,2016-08-31
HINDZINC.NS,3.926181,88.08,345.83,94.45,370.82,1.465,Aug 2016,2016-08-31
VSTIND.NS,683.432902,5.08,3474.31,16.4,11208.75,45.305,Sep 2016,2016-09-30
BALKRISIND.NS,0.599085,278.2,166.67,469.84,281.47,1.138,Sep 2016,2016-09-30
TORNTPHARM.NS,0.580895,580.07,336.96,718.79,417.54,1.688,Sep 2016,2016-09-30
ZENSARTECH.NS,20.029174,126.97,2543.14,175.32,3511.6,14.194,Sep 2016,2016-09-30
KAJARIACER.NS,0.798484,556.62,444.46,650.4,519.33,2.099,Sep 2016,2016-09-30
RATNAMANI.NS,5.92531,367.88,2179.82,343.27,2033.99,8.221,Sep 2016,2016-09-30
VINATIORGA.NS,3.139546,262.29,823.46,301.05,945.16,3.82,Sep 2016,2016-09-30
BAJFINANCE.NS,2.718713,622.64,1692.77,1032.06,2805.87,11.341,Sep 2016,2016-09-30
INFY.NS,1.17187,457.42,536.03,416.66,488.27,1.974,Sep 2016,2016-09-30
IGL.NS,8.9486,105.22,941.61,139.31,1246.65,5.039,Sep 2016,2016-09-30
BAJAJ-AUTO.NS,0.053554,1777.03,95.17,2279.31,122.07,0.493,Sep 2016,2016-09-30
TIDEWATER.NS,0.437883,300.96,131.78,298.88,130.87,0.529,Sep 2016,2016-09-30
TVSSRICHAK.NS,0.010803,2138.41,23.1,3694.08,39.91,0.161,Sep 2016,2016-09-30
AVANTIFEED.NS,0.104122,155.8,16.22,159.57,16.61,0.067,Sep 2016,2016-09-30
AARTIIND.NS,0.130152,124.64,16.22,146.96,19.13,0.077,Sep 2016,2016-09-30
