Month,Ticker,Invested_Amount,Current_Amount,Portfolio_Total,Weight_Pct
Mar 2020,TECHM.NS,6368.98,5453.96,28770.79,18.957
Apr 2020,TECHM.NS,6368.98,5268.31,32733.86,16.094
May 2020,TECHM.NS,6368.98,5115.92,32268.170000000002,15.854
Jun 2020,TECHM.NS,6368.98,5240.82,34590.89,15.151
Jul 2020,VSTIND.NS,5146.74,7609.73,40887.23,18.612
Aug 2020,VSTIND.NS,5541.23,8431.41,43417.36,19.419
Sep 2020,VSTIND.NS,5967.2,8524.46,43757.89,19.481
Oct 2020,VSTIND.NS,5967.2,8866.33,44121.98,20.095
Nov 2020,VSTIND.NS,6049.36,9460.55,47713.38,19.828
Dec 2020,VSTIND.NS,6225.85,9934.64,50901.47,19.517
Jan 2021,VSTIND.NS,6397.54,9619.86,51151.97,18.806
Feb 2021,VSTIND.NS,6397.54,9357.36,51843.45,18.049
Mar 2021,TECHM.NS,6368.98,9823.24,53199.81,18.465
Apr 2021,TECHM.NS,6368.98,9515.6,58123.06,16.371
May 2021,TECHM.NS,6368.98,10122.46,62882.87,16.097
Jun 2021,TECHM.NS,6368.98,10853.66,66381.72,16.35
Jul 2021,VSTIND.NS,7595.95,24863.74,84276.18000000001,29.503
Aug 2021,VSTIND.NS,8524.4,25194.64,85274.14,29.545
Sep 2021,VSTIND.NS,8760.01,25803.42,85826.39,30.065
Oct 2021,VSTIND.NS,7000.68,17829.93,87129.12,20.464
Nov 2021,TECHM.NS,6368.98,15838.78,96342.94,16.44
Dec 2021,ASAL.NS,5767.68,48595.66,136517.28,35.597
Jan 2022,ASAL.NS,7408.22,36235.73,117064.8,30.954
Feb 2022,ASAL.NS,7499.86,19616.71,93948.83,20.88
Mar 2022,ASAL.NS,7499.86,44668.91,123845.52,36.068
Apr 2022,ASAL.NS,8679.44,42782.89,120871.91,35.395
May 2022,ASAL.NS,8679.44,33648.71,104916.54000000001,32.072
Jun 2022,ASAL.NS,8679.44,36207.54,102035.6,35.485
Jul 2022,ASAL.NS,10166.52,36919.37,107074.59000000001,34.48
Aug 2022,ASAL.NS,10743.18,34885.84,104610.74,33.348
Sep 2022,ASAL.NS,10743.18,33555.2,100254.11,33.47
Oct 2022,ASAL.NS,11118.14,31021.31,97585.07,31.789
Nov 2022,ASAL.NS,11118.14,32680.4,100374.32,32.559
Dec 2022,ASAL.NS,11306.53,30811.54,96552.42,31.912
Jan 2023,ASAL.NS,11306.53,29395.16,96484.75,30.466
Feb 2023,ASAL.NS,11306.53,24578.62,89871.95,27.348
Mar 2023,ASAL.NS,11306.53,24637.46,89198.81,27.621
Apr 2023,ASAL.NS,11306.53,28953.85,99213.64,29.183
May 2023,ASAL.NS,9728.77,19456.22,101504.19,19.168
Jun 2023,ASAL.NS,9728.77,23071.62,109842.55,21.004
Jul 2023,ASAL.NS,8464.12,16491.97,117965.37,13.98
Aug 2023,BANCOINDIA.NS,4943.03,9822.18,125662.38,7.816
Sep 2023,BANCOINDIA.NS,6745.85,11619.9,130052.2,8.935
Oct 2023,FACT.NS,7667.61,16199.6,134417.27,12.052
Nov 2023,FACT.NS,9707.88,17135.28,148098.62,11.57
Dec 2023,FACT.NS,11971.25,21970.93,164596.22,13.348
Jan 2024,FACT.NS,14542.37,26217.87,186058.75,14.091
Feb 2024,FACT.NS,16443.82,23389.18,176223.75,13.272
Mar 2024,FACT.NS,17689.38,20193.42,161192.78,12.527
Apr 2024,FACT.NS,18683.51,21459.07,177411.85,12.096
May 2024,BANCOINDIA.NS,14384.64,21010.85,172272.59,12.196
Jun 2024,FACT.NS,20090.4,30521.24,197677.14,15.44
Jul 2024,FACT.NS,19611.83,30736.43,213430.35,14.401
Aug 2024,BANCOINDIA.NS,19416.72,29036.09,221948.62,13.082
Sep 2024,BANCOINDIA.NS,19416.72,28989.01,232422.52,12.473
Oct 2024,BANCOINDIA.NS,19416.72,31124.93,219482.05,14.181
Nov 2024,BANCOINDIA.NS,19416.72,49524.22,240381.36000000002,20.602
Dec 2024,BANCOINDIA.NS,19416.72,20351.16,209554.32,9.712
Jan 2025,BANCOINDIA.NS,19416.72,19244.68,176643.21,10.895
Feb 2025,GODFRYPHLP.NS,13305.72,15810.84,150758.63,10.488
Mar 2025,GODFRYPHLP.NS,13305.72,20624.11,165677.95,12.448
Apr 2025,GODFRYPHLP.NS,13305.72,24727.48,177071.1,13.965
May 2025,BANCOINDIA.NS,19416.72,24421.82,199911.63999999998,12.216
Jun 2025,BANCOINDIA.NS,19416.72,27437.36,204835.37,13.395
Jul 2025,BANCOINDIA.NS,19416.72,25331.4,198752.76,12.745
Aug 2025,BANCOINDIA.NS,19416.72,24678.64,190896.21,12.928
Sep 2025,BANCOINDIA.NS,19416.72,35767.02,202347.58,17.676
