Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
May 2019,2019-05-31,0.0,43119.65,3593.30452,0.0,610.65,0.0,610.65,610.65,0.0,43077.63
Jun 2019,2019-06-28,0.0,41798.23,3483.186207,0.0,2852.2,0.0,2852.2,2852.2,0.0,41700.49
Jul 2019,2019-07-31,0.0,39193.85,3266.154342,0.0,4502.81,0.0,4502.81,4502.81,0.0,39049.43
Aug 2019,2019-08-30,0.0,40621.81,3385.151177,0.0,343.96,0.0,343.96,343.96,0.0,40623.86
Sep 2019,2019-09-30,0.0,42511.48,3542.623367,0.0,730.4,0.0,730.4,730.4,0.0,42576.42
Oct 2019,2019-10-31,0.0,43342.12,3611.843345,0.0,274.72,0.0,274.72,274.72,0.0,43350.89
Nov 2019,2019-11-29,0.0,44246.43,3687.202318,0.0,4407.25,0.0,4407.25,4407.25,0.0,44309.08
Dec 2019,2019-12-31,0.0,44853.78,3737.815029,0.0,8084.08,0.0,8084.08,8084.08,0.0,45144.25
Jan 2020,2020-01-31,0.0,46789.76,3899.14699,0.0,2200.22,0.0,2200.22,2200.22,0.0,46909.77
Feb 2020,2020-02-28,0.0,43072.68,3589.389888,0.0,3170.09,0.0,3170.09,3170.09,0.0,42799.03
Mar 2020,2020-03-31,0.0,30282.76,2523.563401,0.0,1229.66,0.0,1229.66,1229.66,0.0,30032.08
Apr 2020,2020-04-30,0.0,33019.47,2751.622912,0.0,871.16,0.0,871.16,871.16,0.0,33209.02
May 2020,2020-05-29,0.0,32599.16,2716.596589,0.0,2082.0,0.0,2082.0,2082.0,0.0,32647.54
Jun 2020,2020-06-30,0.0,35576.44,2964.703024,0.0,561.97,0.0,561.97,561.97,0.0,35591.29
Jul 2020,2020-07-30,0.0,42782.09,3565.173973,0.0,6546.77,0.0,6546.77,6546.77,0.0,43753.75
Aug 2020,2020-08-31,0.0,46529.13,3877.427704,0.0,0.0,0.0,0.0,0.0,0.0,46529.13
Sep 2020,2020-09-30,0.0,46672.78,3889.397989,0.0,2582.02,0.0,2582.02,2582.02,0.0,46820.6
Oct 2020,2020-10-30,0.0,47706.62,3975.551899,0.0,0.0,0.0,0.0,0.0,0.0,47706.62
Nov 2020,2020-11-27,0.0,51573.49,4297.791095,0.0,1203.36,0.0,1203.36,1203.36,0.0,51708.53
Dec 2020,2020-12-31,0.0,55291.88,4607.656711,0.0,2502.46,0.0,2502.46,2502.46,0.0,55413.73
Jan 2021,2021-01-29,0.0,56009.84,4667.487037,0.0,631.74,0.0,631.74,631.74,0.0,56005.67
Feb 2021,2021-02-26,0.0,57342.46,4778.53857,0.0,884.03,0.0,884.03,884.03,0.0,57343.65
Mar 2021,2021-03-31,0.0,58851.67,4904.305978,0.0,0.0,0.0,0.0,0.0,0.0,58851.67
Apr 2021,2021-04-30,0.0,63940.0,5328.333005,0.0,212.68,0.0,212.68,212.68,0.0,63960.67
May 2021,2021-05-31,0.0,69435.57,5786.297848,0.0,0.0,0.0,0.0,0.0,0.0,69435.57
Jun 2021,2021-06-30,0.0,73540.94,6128.411338,0.0,216.23,0.0,216.23,216.23,0.0,73597.78
Jul 2021,2021-07-30,0.0,92599.5,7716.624959,0.0,10381.56,0.0,10381.56,10381.56,0.0,95009.96
Aug 2021,2021-08-31,0.0,97334.59,8111.215928,0.0,2476.22,0.0,2476.22,2476.22,0.0,97228.2
Sep 2021,2021-09-30,0.0,97762.51,8146.87603,0.0,1420.97,0.0,1420.97,1420.97,0.0,97822.44
Oct 2021,2021-10-29,0.0,98252.26,8187.688635,0.0,24541.68,0.0,24541.68,24541.68,0.0,99993.96
Nov 2021,2021-11-30,0.0,115009.73,9584.144322,0.0,987.45,0.0,987.45,987.45,0.0,115231.49
Dec 2021,2021-12-31,0.0,169073.26,14089.438185,0.0,871.05,0.0,871.05,871.05,0.0,169434.54
Jan 2022,2022-01-31,0.0,144355.2,12029.600202,0.0,22643.43,0.0,22643.43,22643.43,0.0,141930.43
Feb 2022,2022-02-28,0.0,111204.27,9267.022275,0.0,215.12,0.0,215.12,215.12,0.0,111178.27
Mar 2022,2022-03-31,0.0,150223.42,12518.618333,0.0,2892.99,0.0,2892.99,2892.99,0.0,150731.03
Apr 2022,2022-04-29,0.0,149276.19,12439.682818,0.0,1102.87,0.0,1102.87,1102.87,0.0,149254.4
May 2022,2022-05-31,0.0,127744.59,10645.382124,0.0,0.0,0.0,0.0,0.0,0.0,127744.59
Jun 2022,2022-06-30,0.0,125341.95,10445.162809,0.0,0.0,0.0,0.0,0.0,0.0,125341.95
Jul 2022,2022-07-29,0.0,131267.58,10938.9653,0.0,12153.3,0.0,12153.3,12153.3,0.0,131274.69
Aug 2022,2022-08-30,0.0,127301.4,10608.450305,0.0,638.99,0.0,638.99,638.99,0.0,127251.51
Sep 2022,2022-09-30,0.0,121581.54,10131.795238,0.0,41102.49,0.0,41102.49,41102.49,0.0,122111.1
Oct 2022,2022-10-31,0.0,119686.18,9973.848679,0.0,104.76,0.0,104.76,104.76,0.0,119679.58
Nov 2022,2022-11-30,0.0,122590.27,10215.855972,0.0,0.0,0.0,0.0,0.0,0.0,122590.27
Dec 2022,2022-12-30,0.0,119166.78,9930.5652,0.0,5566.93,0.0,5566.93,5566.93,0.0,119202.52
Jan 2023,2023-01-31,0.0,119162.08,9930.173171,0.0,8243.54,0.0,8243.54,8243.54,0.0,118604.19
Feb 2023,2023-02-28,0.0,110290.37,9190.864063,0.0,1402.09,0.0,1402.09,1402.09,0.0,110242.11
Mar 2023,2023-03-31,0.0,108582.37,9048.530878,0.0,3332.68,0.0,3332.68,3332.68,0.0,108297.81
Apr 2023,2023-04-28,0.0,119100.1,9925.008522,0.0,279.61,0.0,279.61,279.61,0.0,119145.02
May 2023,2023-05-31,0.0,122188.52,10182.37626,0.0,32416.07,0.0,32416.07,32416.07,0.0,124761.31
Jun 2023,2023-06-30,0.0,130457.17,10871.43053,0.0,3678.37,0.0,3678.37,3678.37,0.0,130924.47
Jul 2023,2023-07-31,0.0,139938.97,11661.581017,0.0,1123.83,0.0,1123.83,1123.83,0.0,140099.22
Aug 2023,2023-08-31,0.0,156183.73,13015.310637,0.0,129.57,0.0,129.57,129.57,0.0,156177.36
Sep 2023,2023-09-29,0.0,158240.49,13186.707884,0.0,40003.54,0.0,40003.54,40003.54,0.0,159160.16
Oct 2023,2023-10-31,0.0,169124.2,14093.683606,0.0,8135.58,0.0,8135.58,8135.58,0.0,169429.32
Nov 2023,2023-11-30,0.0,182054.46,15171.205047,0.0,25434.03,0.0,25434.03,25434.03,0.0,184545.75
Dec 2023,2023-12-29,0.0,202699.28,16891.607024,0.0,25107.09,0.0,25107.09,25107.09,0.0,205718.66
Jan 2024,2024-01-31,0.0,222913.84,18576.153297,0.0,10768.38,0.0,10768.38,10768.38,0.0,223568.77
Feb 2024,2024-02-29,0.0,215868.0,17989.000019,0.0,9825.55,0.0,9825.55,9825.55,0.0,215811.4
Mar 2024,2024-03-28,0.0,203006.41,16917.201117,0.0,7097.44,0.0,7097.44,7097.44,0.0,202776.41
Apr 2024,2024-04-30,0.0,220449.01,18370.750417,0.0,3462.83,0.0,3462.83,3462.83,0.0,220768.94
May 2024,2024-05-31,0.0,213627.05,17802.254037,0.0,40338.17,0.0,40338.17,40338.17,0.0,215960.43
Jun 2024,2024-06-28,0.0,248185.54,20682.128295,0.0,12452.31,0.0,12452.31,12452.31,0.0,249702.39
Jul 2024,2024-07-31,0.0,267634.16,22302.846501,0.0,7702.05,0.0,7702.05,7702.05,0.0,267763.22
Aug 2024,2024-08-30,0.0,281179.48,23431.623414,0.0,2389.1,0.0,2389.1,2389.1,0.0,281434.79
Sep 2024,2024-09-30,0.0,297020.09,24751.674152,0.0,38902.4,0.0,38902.4,38902.4,0.0,294146.29
Oct 2024,2024-10-31,0.0,279620.88,23301.739957,0.0,7959.15,0.0,7959.15,7959.15,0.0,278895.41
Nov 2024,2024-11-29,0.0,306413.26,25534.438382,0.0,15067.25,0.0,15067.25,15067.25,0.0,305936.66
Dec 2024,2024-12-31,0.0,257006.31,21417.192098,0.0,33043.54,0.0,33043.54,33043.54,0.0,255616.57
Jan 2025,2025-01-31,0.0,217585.19,18132.099477,0.0,9160.75,0.0,9160.75,9160.75,0.0,216389.75
Feb 2025,2025-02-28,0.0,189166.22,15763.851392,0.0,38615.72,0.0,38615.72,38615.72,0.0,187305.99
Mar 2025,2025-03-31,0.0,203500.03,16958.335854,0.0,50789.97,0.0,50789.97,50789.97,0.0,212248.56
Apr 2025,2025-04-30,0.0,226620.25,18885.021073,0.0,16151.43,0.0,16151.43,16151.43,0.0,227268.2
May 2025,2025-05-30,0.0,253270.82,21105.901995,0.0,36084.74,0.0,36084.74,36084.74,0.0,254140.52
Jun 2025,2025-06-30,0.0,257740.15,21478.345884,0.0,2465.78,0.0,2465.78,2465.78,0.0,257763.29
Jul 2025,2025-07-31,0.0,245114.11,20426.175469,0.0,44958.87,0.0,44958.87,44958.87,0.0,247228.39
Aug 2025,2025-08-29,0.0,234427.59,19535.632431,0.0,17114.38,0.0,17114.38,17114.38,0.0,233472.88
Sep 2025,2025-09-30,0.0,247102.24,20591.85348,0.0,4440.86,0.0,4440.86,4440.86,0.0,247276.77
