Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Jul 2018,2018-07-31,0.0,57080.06,57080.061913,14537.58,0.0,14537.58,14537.58,0.0,57433.68,1
Aug 2018,2018-08-31,0.0,57539.79,57539.790289,42966.75,0.0,42966.75,42966.75,0.0,60389.19,8
Sep 2018,2018-09-28,0.0,47756.5,47756.498352,18584.49,0.0,18584.49,18584.49,0.0,44305.03,3
Oct 2018,2018-10-31,0.0,46413.88,46413.881861,2668.71,0.0,2668.71,2668.71,0.0,46485.04,1
Nov 2018,2018-11-30,0.0,49722.17,49722.170737,32841.62,0.0,32841.62,32841.62,0.0,51476.9,5
Dec 2018,2018-12-31,0.0,51213.04,51213.038783,6255.71,0.0,6255.71,6255.71,0.0,51096.9,1
Jan 2019,2019-01-31,0.0,52444.78,52444.783244,21468.26,0.0,21468.26,21468.26,0.0,53408.35,5
Feb 2019,2019-02-28,0.0,49259.24,49259.235333,9913.17,0.0,9913.17,9913.17,0.0,49327.45,2
Mar 2019,2019-03-29,0.0,54719.12,54719.118652,10139.97,0.0,10139.97,10139.97,0.0,55158.81,4
Apr 2019,2019-04-30,0.0,56106.48,56106.477203,44477.61,0.0,44477.61,44477.61,0.0,55997.8,2
May 2019,2019-05-31,0.0,66701.12,66701.117909,33595.12,0.0,33595.12,33595.12,0.0,72352.01,3
Jun 2019,2019-06-28,0.0,71117.84,71117.84486,40287.27,0.0,40287.27,40287.27,0.0,70976.89,3
Jul 2019,2019-07-31,0.0,62192.92,62192.91677,11651.53,0.0,11651.53,11651.53,0.0,61108.79,2
Aug 2019,2019-08-30,0.0,64065.32,64065.324408,38838.58,0.0,38838.58,38838.58,0.0,62916.65,4
Sep 2019,2019-09-30,0.0,71145.72,71145.715547,15412.32,0.0,15412.32,15412.32,0.0,73847.36,1
Oct 2019,2019-10-31,0.0,73766.94,73766.940264,14298.31,0.0,14298.31,14298.31,0.0,74023.16,2
Nov 2019,2019-11-29,0.0,72779.95,72779.953686,30705.5,0.0,30705.5,30705.5,0.0,72852.79,2
Dec 2019,2019-12-31,0.0,71182.19,71182.194342,24616.43,0.0,24616.43,24616.43,0.0,72117.09,4
Jan 2020,2020-01-31,0.0,79923.7,79923.702613,13250.25,0.0,13250.25,13250.25,0.0,81233.87,3
Feb 2020,2020-02-28,0.0,79083.93,79083.928748,9544.66,0.0,9544.66,9544.66,0.0,79173.26,4
Mar 2020,2020-03-31,0.0,46214.1,46214.099249,3189.42,0.0,3189.42,3189.42,0.0,45224.29,3
