Date,Portfolio_Value,Bank,Month,Equity
2016-09-15,24864.45,0.0,Sep 2016,24864.45
2016-09-16,24661.85,0.0,Sep 2016,24661.85
2016-09-19,24938.9,0.0,Sep 2016,24938.9
2016-09-20,24606.98,0.0,Sep 2016,24606.98
2016-09-21,24865.22,0.0,Sep 2016,24865.22
2016-09-22,24888.24,0.0,Sep 2016,24888.24
2016-09-23,24914.61,0.0,Sep 2016,24914.61
2016-09-26,24775.51,0.0,Sep 2016,24775.51
2016-09-27,24722.27,0.0,Sep 2016,24722.27
2016-09-28,25138.98,0.0,Sep 2016,25138.98
2016-09-29,24387.48,0.0,Sep 2016,24387.48
2016-09-30,24575.85,0.0,Sep 2016,24575.85
2016-10-03,25303.97,0.0,Oct 2016,25303.97
2016-10-04,25332.83,0.0,Oct 2016,25332.83
2016-10-05,25472.08,0.0,Oct 2016,25472.08
2016-10-06,25693.1,0.0,Oct 2016,25693.1
2016-10-07,25583.04,0.0,Oct 2016,25583.04
2016-10-10,25345.88,0.0,Oct 2016,25345.88
2016-10-13,25302.66,0.0,Oct 2016,25302.66
2016-10-14,25596.02,0.0,Oct 2016,25596.02
2016-10-17,25493.0,0.0,Oct 2016,25493.0
2016-10-18,25556.81,0.0,Oct 2016,25556.81
2016-10-19,25608.47,0.0,Oct 2016,25608.47
2016-10-20,25690.79,0.0,Oct 2016,25690.79
2016-10-21,25806.14,0.0,Oct 2016,25806.14
2016-10-24,25794.59,0.0,Oct 2016,25794.59
2016-10-25,25811.16,0.0,Oct 2016,25811.16
2016-10-26,25916.63,0.0,Oct 2016,25916.63
2016-10-27,25692.5,0.0,Oct 2016,25692.5
2016-10-28,25494.88,0.0,Oct 2016,25494.88
2016-11-01,25984.42,0.0,Nov 2016,25984.42
2016-11-02,25746.65,0.0,Nov 2016,25746.65
2016-11-03,25185.7,0.0,Nov 2016,25185.7
2016-11-04,25011.04,0.0,Nov 2016,25011.04
2016-11-07,25075.04,0.0,Nov 2016,25075.04
2016-11-08,24713.67,0.0,Nov 2016,24713.67
2016-11-09,24772.5,0.0,Nov 2016,24772.5
2016-11-10,24639.27,0.0,Nov 2016,24639.27
2016-11-11,24153.52,0.0,Nov 2016,24153.52
2016-11-15,23820.4,0.0,Nov 2016,23820.4
2016-11-16,23840.3,0.0,Nov 2016,23840.3
2016-11-17,24334.47,0.0,Nov 2016,24334.47
2016-11-18,24490.85,0.0,Nov 2016,24490.85
2016-11-21,23856.71,0.0,Nov 2016,23856.71
2016-11-22,24081.13,0.0,Nov 2016,24081.13
2016-11-23,23821.96,0.0,Nov 2016,23821.96
2016-11-24,23500.96,0.0,Nov 2016,23500.96
2016-11-25,23861.46,0.0,Nov 2016,23861.46
2016-11-28,24025.29,0.0,Nov 2016,24025.29
2016-11-29,23971.0,0.0,Nov 2016,23971.0
2016-11-30,24250.99,0.0,Nov 2016,24250.99
2016-12-01,24202.61,0.0,Dec 2016,24202.61
2016-12-02,23987.43,0.0,Dec 2016,23987.43
2016-12-05,24026.43,0.0,Dec 2016,24026.43
2016-12-06,24069.2,0.0,Dec 2016,24069.2
2016-12-07,24182.37,0.0,Dec 2016,24182.37
2016-12-08,24377.04,0.0,Dec 2016,24377.04
2016-12-09,24439.54,0.0,Dec 2016,24439.54
2016-12-12,24233.3,0.0,Dec 2016,24233.3
2016-12-13,24342.46,0.0,Dec 2016,24342.46
2016-12-14,24242.22,0.0,Dec 2016,24242.22
2016-12-15,24415.17,0.0,Dec 2016,24415.17
2016-12-16,24478.92,0.0,Dec 2016,24478.92
2016-12-19,24192.03,0.0,Dec 2016,24192.03
2016-12-20,23898.59,0.0,Dec 2016,23898.59
2016-12-21,23740.06,0.0,Dec 2016,23740.06
2016-12-22,23483.09,0.0,Dec 2016,23483.09
2016-12-23,23553.79,0.0,Dec 2016,23553.79
2016-12-26,23395.22,0.0,Dec 2016,23395.22
2016-12-27,24216.05,0.0,Dec 2016,24216.05
2016-12-28,23914.91,0.0,Dec 2016,23914.91
2016-12-29,24362.04,0.0,Dec 2016,24362.04
2016-12-30,24712.84,0.0,Dec 2016,24712.84
2017-01-02,24776.57,0.0,Jan 2017,24776.57
2017-01-03,24918.84,0.0,Jan 2017,24918.84
2017-01-04,24786.03,0.0,Jan 2017,24786.03
2017-01-05,24962.86,0.0,Jan 2017,24962.86
2017-01-06,24909.78,0.0,Jan 2017,24909.78
2017-01-09,24991.99,0.0,Jan 2017,24991.99
2017-01-10,25098.79,0.0,Jan 2017,25098.79
2017-01-11,25333.0,0.0,Jan 2017,25333.0
2017-01-12,25274.02,0.0,Jan 2017,25274.02
2017-01-13,25265.64,0.0,Jan 2017,25265.64
2017-01-16,25291.53,0.0,Jan 2017,25291.53
2017-01-17,25439.8,0.0,Jan 2017,25439.8
2017-01-18,25491.05,0.0,Jan 2017,25491.05
2017-01-19,25520.71,0.0,Jan 2017,25520.71
2017-01-20,25285.57,0.0,Jan 2017,25285.57
2017-01-23,25606.78,0.0,Jan 2017,25606.78
2017-01-24,25684.19,0.0,Jan 2017,25684.19
2017-01-25,25893.78,0.0,Jan 2017,25893.78
2017-01-27,25820.48,0.0,Jan 2017,25820.48
2017-01-30,26027.81,0.0,Jan 2017,26027.81
2017-01-31,25822.05,0.0,Jan 2017,25822.05
2017-02-01,26277.47,0.0,Feb 2017,26277.47
2017-02-02,26585.86,0.0,Feb 2017,26585.86
2017-02-03,26720.62,0.0,Feb 2017,26720.62
2017-02-06,27415.38,0.0,Feb 2017,27415.38
2017-02-07,27509.81,0.0,Feb 2017,27509.81
2017-02-08,27547.58,0.0,Feb 2017,27547.58
2017-02-09,27660.45,0.0,Feb 2017,27660.45
2017-02-10,27926.59,0.0,Feb 2017,27926.59
2017-02-13,27831.19,0.0,Feb 2017,27831.19
2017-02-14,27837.1,0.0,Feb 2017,27837.1
2017-02-15,27841.34,0.0,Feb 2017,27841.34
2017-02-16,28284.27,0.0,Feb 2017,28284.27
2017-02-17,28064.37,0.0,Feb 2017,28064.37
2017-02-20,28429.17,0.0,Feb 2017,28429.17
2017-02-21,28231.14,0.0,Feb 2017,28231.14
2017-02-22,28027.89,0.0,Feb 2017,28027.89
2017-02-23,27927.82,0.0,Feb 2017,27927.82
2017-02-27,28021.6,0.0,Feb 2017,28021.6
2017-02-28,28131.71,0.0,Feb 2017,28131.71
2017-03-01,28434.79,0.0,Mar 2017,28434.79
2017-03-02,28145.71,0.0,Mar 2017,28145.71
2017-03-03,28143.65,0.0,Mar 2017,28143.65
2017-03-06,28226.69,0.0,Mar 2017,28226.69
2017-03-07,28124.24,0.0,Mar 2017,28124.24
2017-03-08,28125.4,0.0,Mar 2017,28125.4
2017-03-09,28102.36,0.0,Mar 2017,28102.36
2017-03-10,27978.82,0.0,Mar 2017,27978.82
2017-03-14,28069.98,0.0,Mar 2017,28069.98
2017-03-15,27954.53,0.0,Mar 2017,27954.53
2017-03-16,28206.74,0.0,Mar 2017,28206.74
2017-03-17,29147.33,0.0,Mar 2017,29147.33
2017-03-20,29145.89,0.0,Mar 2017,29145.89
2017-03-21,29411.17,0.0,Mar 2017,29411.17
2017-03-22,29016.97,0.0,Mar 2017,29016.97
2017-03-23,29376.02,0.0,Mar 2017,29376.02
2017-03-24,29221.1,0.0,Mar 2017,29221.1
2017-03-27,29094.86,0.0,Mar 2017,29094.86
2017-03-28,29641.53,0.0,Mar 2017,29641.53
2017-03-29,29354.11,0.0,Mar 2017,29354.11
2017-03-30,29231.15,0.0,Mar 2017,29231.15
2017-03-31,29420.95,0.0,Mar 2017,29420.95
2017-04-03,29482.59,0.0,Apr 2017,29482.59
2017-04-05,29501.94,0.0,Apr 2017,29501.94
2017-04-06,29596.43,0.0,Apr 2017,29596.43
2017-04-07,29812.35,0.0,Apr 2017,29812.35
2017-04-10,29957.46,0.0,Apr 2017,29957.46
2017-04-11,30369.55,0.0,Apr 2017,30369.55
2017-04-12,30489.58,0.0,Apr 2017,30489.58
