Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Mar 2017,2017-03-31,0.0,29420.95,2451.746207,0.0,0.0,0.0,0.0,0.0,0.0,29420.95
Apr 2017,2017-04-28,0.0,30763.85,2563.654473,0.0,0.0,0.0,0.0,0.0,0.0,30763.85
May 2017,2017-05-31,0.0,31065.18,2588.765333,0.0,2588.77,0.0,2588.77,2588.77,0.0,31337.65
Jun 2017,2017-06-30,0.0,34133.37,2844.447139,0.0,0.0,0.0,0.0,0.0,0.0,34133.37
Jul 2017,2017-07-31,0.0,38530.94,3210.911879,0.0,3210.91,0.0,3210.91,3210.91,0.0,38685.95
Aug 2017,2017-08-31,0.0,36981.43,3081.786111,0.0,3081.79,0.0,3081.79,3081.79,0.0,36897.84
Sep 2017,2017-09-29,0.0,38431.52,3202.626817,0.0,2287.44,0.0,2287.44,2287.44,0.0,38453.99
Oct 2017,2017-10-31,0.0,42510.76,3542.563036,0.0,3542.56,0.0,3542.56,3542.56,0.0,42946.83
Nov 2017,2017-11-30,0.0,44961.12,3746.760366,0.0,3746.76,0.0,3746.76,3746.76,0.0,45107.03
Dec 2017,2017-12-29,0.0,46184.93,3848.744301,0.0,3848.74,0.0,3848.74,3848.74,0.0,46317.84
Jan 2018,2018-01-31,0.0,44831.98,3735.998343,0.0,3736.0,0.0,3736.0,3736.0,0.0,44634.8
Feb 2018,2018-02-28,0.0,42757.93,3563.160894,0.0,3563.16,0.0,3563.16,3563.16,0.0,42539.04
Mar 2018,2018-03-28,0.0,40293.07,3357.756007,0.0,3357.76,0.0,3357.76,3357.76,0.0,40147.39
Apr 2018,2018-04-30,0.0,42665.98,3555.498452,0.0,3555.5,0.0,3555.5,3555.5,0.0,43043.47
May 2018,2018-05-31,0.0,38851.61,3237.633821,0.0,3237.63,0.0,3237.63,3237.63,0.0,38585.63
Jun 2018,2018-06-29,0.0,36372.97,3031.081089,0.0,3031.08,0.0,3031.08,3031.08,0.0,36312.15
Jul 2018,2018-07-31,0.0,36808.95,3067.412409,0.0,3067.41,0.0,3067.41,3067.41,0.0,37005.32
Aug 2018,2018-08-31,0.0,40820.51,3401.708896,0.0,3401.71,0.0,3401.71,3401.71,0.0,41026.19
Sep 2018,2018-09-28,0.0,42335.1,3527.924695,0.0,3527.92,0.0,3527.92,3527.92,0.0,42283.29
Oct 2018,2018-10-31,0.0,44506.2,3708.850134,0.0,3708.85,0.0,3708.85,3708.85,0.0,44159.7
Nov 2018,2018-11-30,0.0,42764.07,3563.67227,0.0,3563.67,0.0,3563.67,3563.67,0.0,42756.72
Dec 2018,2018-12-31,0.0,43474.09,3622.840799,0.0,3622.84,0.0,3622.84,3622.84,0.0,43455.96
Jan 2019,2019-01-31,0.0,43567.02,3630.585269,0.0,3630.59,0.0,3630.59,3630.59,0.0,43659.53
Feb 2019,2019-02-28,0.0,43276.92,3606.41011,0.0,3606.41,0.0,3606.41,3606.41,0.0,43158.75
Mar 2019,2019-03-29,0.0,45265.57,3772.13115,0.0,2093.8,0.0,2093.8,2093.8,0.0,45298.92
Apr 2019,2019-04-30,0.0,46694.1,3891.175028,0.0,2956.96,0.0,2956.96,2956.96,0.0,46804.43
May 2019,2019-05-31,0.0,46687.94,3890.661456,0.0,418.22,0.0,418.22,418.22,0.0,46693.32
Jun 2019,2019-06-28,0.0,45566.06,3797.171465,0.0,734.23,0.0,734.23,734.23,0.0,45548.29
Jul 2019,2019-07-31,0.0,43064.0,3588.6664,0.0,2039.49,0.0,2039.49,2039.49,0.0,42995.71
Aug 2019,2019-08-30,0.0,44530.35,3710.862872,0.0,1296.42,0.0,1296.42,1296.42,0.0,44521.99
Sep 2019,2019-09-30,0.0,46073.28,3839.439715,0.0,3839.44,0.0,3839.44,3839.44,0.0,46414.61
Oct 2019,2019-10-31,0.0,47523.87,3960.322587,0.0,943.24,0.0,943.24,943.24,0.0,47570.69
Nov 2019,2019-11-29,0.0,48076.5,4006.375362,0.0,2037.05,0.0,2037.05,2037.05,0.0,48112.31
Dec 2019,2019-12-31,0.0,48874.94,4072.91195,0.0,4072.91,0.0,4072.91,4072.91,0.0,48861.19
Jan 2020,2020-01-31,0.0,51130.48,4260.87362,0.0,4260.87,0.0,4260.87,4260.87,0.0,51355.01
Feb 2020,2020-02-28,0.0,47804.93,3983.744442,0.0,3983.74,0.0,3983.74,3983.74,0.0,47687.65
Mar 2020,2020-03-31,0.0,34787.95,2898.995878,0.0,2899.0,0.0,2899.0,2899.0,0.0,34196.96
Apr 2020,2020-04-30,0.0,38908.26,3242.355152,0.0,2207.47,0.0,2207.47,2207.47,0.0,39456.02
May 2020,2020-05-29,0.0,38213.08,3184.423266,0.0,2865.6,0.0,2865.6,2865.6,0.0,38316.41
Jun 2020,2020-06-30,0.0,40620.65,3385.054306,0.0,144.67,0.0,144.67,144.67,0.0,40622.45
Jul 2020,2020-07-30,0.0,47203.85,3933.654545,0.0,3933.65,0.0,3933.65,3933.65,0.0,47616.33
Aug 2020,2020-08-31,0.0,50779.36,4231.613466,0.0,2276.39,0.0,2276.39,2276.39,0.0,50925.67
Sep 2020,2020-09-30,0.0,52121.92,4343.493632,0.0,3047.76,0.0,3047.76,3047.76,0.0,52395.47
Oct 2020,2020-10-30,0.0,52402.82,4366.90141,0.0,0.0,0.0,0.0,0.0,0.0,52402.82
Nov 2020,2020-11-27,0.0,56942.49,4745.207177,0.0,556.2,0.0,556.2,556.2,0.0,57003.12
Dec 2020,2020-12-31,0.0,60518.39,5043.19921,0.0,2633.48,0.0,2633.48,2633.48,0.0,60646.62
Jan 2021,2021-01-29,0.0,60512.97,5042.747189,0.0,1118.63,0.0,1118.63,1118.63,0.0,60513.26
Feb 2021,2021-02-26,0.0,61440.82,5120.068715,0.0,1000.85,0.0,1000.85,1000.85,0.0,61449.47
Mar 2021,2021-03-31,0.0,63798.55,5316.54594,0.0,0.0,0.0,0.0,0.0,0.0,63798.55
Apr 2021,2021-04-30,0.0,69674.19,5806.18291,0.0,669.6,0.0,669.6,669.6,0.0,69716.22
May 2021,2021-05-31,0.0,75875.92,6322.993572,0.0,3108.71,0.0,3108.71,3108.71,0.0,76069.01
Jun 2021,2021-06-30,0.0,80263.48,6688.622996,0.0,81.18,0.0,81.18,81.18,0.0,80268.94
Jul 2021,2021-07-30,0.0,98613.29,8217.774319,0.0,5200.23,0.0,5200.23,5200.23,0.0,99736.03
Aug 2021,2021-08-31,0.0,101602.51,8466.876146,0.0,3717.19,0.0,3717.19,3717.19,0.0,101467.14
Sep 2021,2021-09-30,0.0,102791.89,8565.990985,0.0,2302.9,0.0,2302.9,2302.9,0.0,102919.85
