,Ticker,ROE_Mar-25,ROCE_Mar-25,ROE_Mar-24,ROCE_Mar-24,ROE_Mar-23,ROCE_Mar-23,ROE_Mar-22,ROCE_Mar-22,ROE_Mar-21,ROCE_Mar-21,ROE_Mar-20,ROCE_Mar-20,ROE_Mar-19,ROCE_Mar-19,ROE_Mar-18,ROCE_Mar-18,ROE_Mar-17,ROCE_Mar-17,ROE_Mar-16,ROCE_Mar-16,ROE_Mar-15,ROCE_Mar-15,ROE_Mar-14,ROCE_Mar-14,ROE_Mar-13,ROCE_Mar-13,ROE_Mar-12,ROCE_Mar-12,ROE_Mar-11,ROCE_Mar-11,ROE_Mar-10,ROCE_Mar-10,ROE_Mar-09,ROCE_Mar-09,ROE_Mar-08,ROCE_Mar-08,ROE_Mar-07,ROCE_Mar-07,ROE_Mar-06,ROCE_Mar-06,ROE_Mar-05,ROCE_Mar-05,Unnamed: 0
994,TATASTLBSL.NS,,,,,,,,,87.14,12.99,-180.1,2.85,168.43,7.03,0.0,-2.03,0.0,3.97,-147.46,1.05,-16.17,3.06,0.68,4.59,10.15,7.3,14.0,9.32,17.24,10.0,21.38,8.48,20.77,6.02,26.07,9.27,25.79,11.06,17.34,8.69,20.99,14.22,1007
995,TATASTLLP.NS,,,,,-52.7,2.0,19.68,5.9,22.05,20.81,-25.6,-4.92,11.47,17.13,14.27,21.0,6.79,6.55,3.81,3.68,11.55,11.15,14.0,13.5,13.35,12.66,13.31,12.53,19.98,18.43,20.12,17.98,34.5,29.94,39.23,25.0,13.4,6.36,15.05,9.48,46.14,39.93,1008
996,TBZ.NS,10.83,20.56,8.88,17.62,6.99,14.97,3.19,9.7,8.07,18.2,4.45,15.2,3.09,13.84,4.32,14.48,3.59,3.56,-5.22,-5.03,5.59,5.42,12.29,11.7,20.72,19.5,35.84,34.31,36.8,33.99,24.73,23.33,20.25,16.21,123.05,106.19,,,,,,,1009
997,TCI.NS,19.97,20.91,17.74,18.6,19.35,21.16,20.36,22.54,12.47,15.95,13.3,16.34,15.24,18.5,15.32,11.86,12.09,9.21,17.17,13.34,13.39,11.11,14.02,11.81,13.3,10.5,14.98,11.11,17.05,12.18,13.92,8.69,10.47,6.48,11.44,6.88,23.04,8.95,25.84,10.46,15.79,5.27,1010
998,TCIEXP.NS,11.79,15.38,18.7,24.31,23.35,30.51,24.02,31.76,23.18,30.2,26.41,34.32,27.26,42.05,28.23,41.13,23.31,22.76,-0.01,-0.01,0.63,0.63,,,,,,,,,,,,,,,,,,,,,1011
999,TCNSBRANDS.NS,,,-95.12,-41.13,-2.86,1.96,-0.92,3.03,-9.21,-4.53,10.51,10.65,21.24,25.61,24.08,32.8,5.6,22.33,-85.86,-16.84,24.06,37.17,10.64,19.95,0.0,0.0,0.0,0.0,,,22.87,9.39,11.35,21.17,31.31,23.32,,,,,,,1012
1000,TCS.NS,63.55,75.77,60.39,75.85,52.46,65.07,49.48,60.23,41.39,52.75,44.72,52.79,38.1,50.71,33.27,41.5,30.31,38.05,35.49,34.9,42.4,41.32,41.93,40.74,39.38,38.35,44.33,43.17,38.86,38.05,37.41,36.98,35.18,34.56,41.34,40.49,46.62,46.22,48.43,47.78,55.14,53.86,1013
1001,TDPOWERSYS.NS,18.38,25.37,17.71,23.53,14.89,20.06,10.41,14.16,3.68,5.76,3.61,4.69,1.54,3.02,2.54,0.31,0.08,1.04,3.03,2.91,3.45,3.31,6.98,6.74,7.73,7.47,11.5,11.19,23.45,19.69,26.61,19.24,38.9,28.95,57.71,41.02,63.07,40.05,23.68,11.55,,,1014
1002,TEAMLEASE.NS,,,13.87,12.07,12.5,11.2,3.31,12.33,12.84,12.8,7.31,15.39,18.34,16.74,16.76,14.93,13.82,12.44,7.83,7.07,20.1,17.4,15.22,13.15,-4.24,-3.7,-14.49,-13.08,-204.35,-135.64,0.19,0.11,118.41,2.71,0.0,-12.89,,,,,,,1015
1003,TECHM.NS,,,9.18,10.88,15.21,19.23,19.0,22.37,16.94,20.39,20.35,21.93,21.21,24.31,20.46,22.85,18.04,20.7,23.75,21.04,20.04,22.45,31.26,25.52,15.6,13.37,13.37,9.91,20.58,15.3,25.91,16.03,52.45,52.45,27.85,27.85,11.29,11.29,36.81,36.8,14.72,14.72,1016
