,Ticker,ROE_Mar-25,ROCE_Mar-25,ROE_Mar-24,ROCE_Mar-24,ROE_Mar-23,ROCE_Mar-23,ROE_Mar-22,ROCE_Mar-22,ROE_Mar-21,ROCE_Mar-21,ROE_Mar-20,ROCE_Mar-20,ROE_Mar-19,ROCE_Mar-19,ROE_Mar-18,ROCE_Mar-18,ROE_Mar-17,ROCE_Mar-17,ROE_Mar-16,ROCE_Mar-16,ROE_Mar-15,ROCE_Mar-15,ROE_Mar-14,ROCE_Mar-14,ROE_Mar-13,ROCE_Mar-13,ROE_Mar-12,ROCE_Mar-12,ROE_Mar-11,ROCE_Mar-11,ROE_Mar-10,ROCE_Mar-10,ROE_Mar-09,ROCE_Mar-09,ROE_Mar-08,ROCE_Mar-08,ROE_Mar-07,ROCE_Mar-07,ROE_Mar-06,ROCE_Mar-06,ROE_Mar-05,ROCE_Mar-05,Unnamed: 0
306,FRETAIL.NS,,,,,,,,,-265.19,-26.18,0.79,9.85,19.02,21.63,0.36,22.64,14.42,20.86,0.81,0.66,0.0,313.65,0.0,-626.71,,,,,,,,,,,,,,,,,,,309
307,FRL.NS,,,,,,,-928.08,-217.19,-40.79,-5.65,-7.94,3.64,0.6,5.49,-0.31,5.58,1.14,5.94,0.35,5.96,1.42,7.45,0.08,0.03,,,,,,,,,,,,,,,,,,,310
308,FSL.NS,16.57,16.98,13.26,14.61,10.77,13.37,16.7,18.65,16.88,18.53,8.81,10.14,8.73,9.8,8.99,8.86,9.42,9.07,8.52,7.95,10.05,9.31,9.74,8.91,11.03,10.03,5.15,5.09,7.18,2.99,6.8,6.03,1.6,0.66,11.17,3.53,7.21,6.78,7.16,3.08,10.11,2.38,311
309,GABRIEL.NS,18.31,24.23,18.35,29.36,15.2,20.08,11.67,16.19,8.65,11.42,12.99,15.15,16.09,23.04,17.95,24.84,18.36,17.15,19.8,18.45,18.44,17.09,14.93,13.81,14.84,12.98,22.94,19.48,24.3,17.19,16.1,9.44,4.23,2.41,5.76,3.37,55.89,44.35,8.89,5.55,18.56,10.28,312
310,GAEL.NS,8.34,11.47,12.49,16.26,13.51,18.02,22.35,29.25,20.3,26.46,10.99,13.73,16.39,22.84,17.59,16.63,18.58,24.23,10.9,10.12,10.19,9.25,14.82,13.84,17.31,15.88,8.95,8.18,18.58,16.7,14.28,12.39,7.76,6.48,19.88,16.6,15.4,12.28,11.54,9.79,11.4,10.06,313
311,GAIL.NS,16.03,13.74,13.76,13.71,9.52,9.1,18.64,18.91,10.49,10.53,15.05,13.92,13.66,17.34,11.45,14.95,9.18,13.17,7.51,5.45,10.43,7.08,16.16,10.84,16.6,11.26,16.89,12.64,18.49,15.37,18.69,15.81,18.98,16.06,20.0,16.56,20.94,16.9,23.16,17.41,22.65,16.28,314
312,GALAXYSURF.NS,12.11,15.89,14.25,18.56,17.48,22.28,11.76,15.19,17.49,22.22,20.47,24.05,21.52,29.74,16.88,14.6,21.28,27.85,22.25,16.05,20.62,16.31,24.26,16.6,12.84,7.89,,,,,,,,,,,,,,,,,315
313,GALLANTT.NS,14.09,18.8,9.19,12.71,6.33,11.07,8.44,11.64,10.44,17.3,1.53,3.51,14.87,24.06,11.96,18.39,7.34,9.92,12.87,11.92,12.05,11.12,6.08,5.48,13.65,11.59,7.24,5.64,12.31,8.66,14.42,7.51,10.11,5.27,27.96,12.3,4.99,1.84,-1.29,-0.61,0.0,0.0,316
314,GAMMNINFRA.NS,0.0,2.63,0.0,0.58,0.0,-0.88,-187.24,4.46,0.73,4.03,-1.35,1.85,-8.54,2.69,1.22,3.42,2.03,3.73,6.63,6.14,,,,,4.71,2.82,5.34,5.3,6.12,6.06,2.6,2.58,2.61,2.58,1.48,1.47,3.91,3.89,1.74,1.74,,,317
315,GAMMONIND.NS,,,,,0.0,1.16,0.0,4.0,0.0,0.37,0.0,0.65,0.0,-4.22,0.0,-15.69,-257.91,5.03,4.35,1.77,,,,,-27.83,-14.5,4.31,2.81,6.3,4.0,7.49,5.26,11.48,7.33,8.79,6.14,4.95,3.21,12.14,9.48,,,318
316,GANGAFORGE.NS,,,1.41,4.69,12.42,6.24,8.87,11.58,0.88,5.92,-17.63,-9.49,3.69,9.18,5.39,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,319
317,GARFIBRES.NS,17.54,23.71,15.98,21.35,15.5,20.38,16.13,21.12,18.37,23.91,23.02,27.9,19.34,28.19,19.61,28.34,18.91,26.86,16.96,23.82,13.89,20.78,9.7,8.55,9.25,7.85,9.58,7.62,10.41,9.23,8.92,7.63,7.91,6.5,13.28,10.73,14.09,11.5,10.88,8.8,10.47,8.7,320
318,GATI.NS,1.83,1.4,4.64,0.95,-0.78,0.45,-3.18,0.17,-28.23,0.14,-7.22,-1.05,3.16,4.78,4.57,9.68,2.72,5.69,3.21,2.22,3.88,2.76,3.24,2.47,,,,,,,,,,,,,,,,,,,321
319,GAYAPROJ.NS,,,,,,,,-59.09,5.65,16.86,-40.81,11.94,15.85,13.73,16.74,14.19,9.5,11.66,6.99,2.37,3.23,1.02,7.14,2.94,10.08,4.14,8.9,4.37,14.79,6.01,17.73,9.88,19.14,10.88,21.93,7.73,16.71,7.54,19.08,6.86,11.45,3.96,322
320,GDL.NS,11.77,12.78,12.99,12.78,13.53,13.56,13.99,13.39,29.16,15.58,22.44,11.98,29.96,19.13,16.7,12.25,9.42,9.08,14.5,10.55,29.32,14.89,20.56,9.47,13.88,6.01,13.1,5.15,-2.64,2.5,,,,,,,,,,,,,323
321,GEEKAYWIRE.NS,25.02,30.37,36.81,45.75,35.43,35.93,19.01,24.66,15.63,16.75,17.96,26.78,8.6,22.34,3.53,13.78,5.73,14.45,10.75,3.79,4.17,1.25,3.24,1.46,3.58,1.59,1.3,0.56,,,,,,,,,,,,,,,324
322,GENUSPAPER.NS,1.62,5.62,1.23,4.55,-3.05,-0.06,1.78,1.44,2.1,3.58,2.48,3.63,2.2,5.36,4.21,7.15,2.07,4.08,1.49,1.3,3.07,2.71,3.4,3.15,0.0,0.0,,,,,,,,,,,,,,,,,325
323,GENUSPOWER.NS,16.14,20.02,4.8,9.58,3.55,7.19,2.7,6.55,5.47,10.78,10.58,17.68,8.92,14.52,6.88,12.41,8.22,13.13,12.21,11.86,10.9,10.02,13.93,12.32,9.13,8.12,14.83,13.06,16.45,14.9,8.87,7.48,4.83,3.37,19.74,15.73,38.15,19.22,37.62,17.04,33.63,17.86,326
324,GEOJITBNPP.NS,15.76,7.54,19.73,27.85,15.42,19.86,25.42,33.92,25.15,31.98,10.09,16.69,6.02,12.5,15.49,23.13,9.69,18.56,10.01,9.93,19.86,19.69,-24.56,-24.38,10.61,10.54,10.49,10.43,13.66,13.59,18.59,18.39,5.28,5.21,20.64,19.71,10.41,9.86,43.49,41.33,29.15,27.72,327
325,GEOJITFSL.NS,15.76,7.54,19.73,27.85,15.42,19.86,25.42,33.92,25.15,31.98,10.09,16.69,6.02,12.5,15.49,23.13,9.69,18.56,10.01,9.93,19.86,19.69,-24.56,-24.38,10.61,10.54,10.49,10.43,13.66,13.59,18.59,18.39,5.28,5.21,20.64,19.71,10.41,9.86,43.49,41.33,29.15,27.72,328
326,GEOMETRIC.NS,,,,,,,,,,,,,,,,,,,20.9,20.8,19.54,19.54,17.7,17.7,13.89,13.88,19.86,17.94,9.86,9.81,6.3,6.24,22.47,22.11,10.07,9.85,15.4,15.09,14.47,14.03,19.4,18.54,329
327,GEPIL.NS,65.24,-3.57,-308.77,-52.36,-195.65,-64.27,-43.34,-7.75,6.87,16.3,9.24,16.64,8.59,28.8,3.19,2.86,0.03,14.39,-6.99,-6.29,18.15,17.1,24.94,23.16,23.08,21.41,24.41,22.85,29.11,27.39,34.2,32.47,33.71,31.62,21.33,19.84,32.98,30.63,15.4,14.17,16.82,15.26,330
328,GESHIP.NS,18.06,18.17,22.38,20.83,27.6,23.97,12.35,11.23,16.89,13.21,5.53,6.95,-0.38,4.05,3.06,1.81,11.65,9.93,13.38,8.52,6.43,4.21,4.25,2.68,2.92,1.78,2.79,1.55,4.84,3.0,7.36,4.37,28.09,17.32,32.63,20.37,28.79,16.8,35.14,19.7,36.94,18.94,331
329,GET&D.NS,34.3,44.56,14.56,21.85,-0.13,6.59,-4.59,-11.42,5.37,10.8,-28.77,-17.62,14.89,25.5,17.54,30.9,-8.39,8.05,2.92,11.23,9.19,8.83,9.37,9.06,9.24,8.23,18.54,17.89,,,,,,,,,,,,,11.39,10.65,332
330,GHCL.NS,,,26.71,23.81,28.38,32.12,20.51,23.0,12.39,15.33,18.59,19.06,18.49,22.91,22.47,21.01,28.62,27.87,24.83,13.44,23.77,10.55,13.52,6.63,10.76,6.18,12.21,6.4,11.41,5.63,11.89,5.89,7.17,3.58,20.21,6.45,34.88,10.21,,,16.28,8.43,333
331,GICRE.NS,,,12.49,10.26,15.03,12.97,7.67,6.31,6.35,6.29,-1.42,-1.21,7.0,6.38,10.39,7.01,10.98,7.47,7.25,7.52,6.42,6.74,6.99,6.99,8.13,8.13,,,,,,,,,,,,,,,,,334
332,GINNIFILA.NS,2.1,5.98,-43.41,3.5,-5.13,-0.78,16.52,22.05,17.3,29.44,3.07,12.44,-1.95,11.32,1.48,12.33,9.17,21.91,3.1,1.7,5.67,2.67,28.06,11.44,18.86,5.87,-57.89,-13.9,15.34,4.74,4.93,1.13,-41.93,-7.47,-15.91,-4.01,1.89,0.63,4.39,2.26,3.0,1.06,336
333,GIPCL.NS,6.0,4.23,6.0,5.93,5.98,6.92,5.62,6.8,6.29,8.08,9.02,9.69,6.86,14.63,9.94,11.78,10.25,12.86,9.25,6.89,6.87,5.03,10.58,7.52,13.56,9.09,8.22,5.24,11.93,7.1,8.56,4.74,7.2,4.46,8.99,6.12,16.95,12.36,12.33,7.73,18.43,8.22,337
334,GITANJALI.NS,,,,,,,,,,,,,,,,,1.13,1.05,1.33,1.13,0.64,0.52,-0.8,-0.65,9.45,7.71,10.16,8.13,10.0,9.41,6.97,5.66,6.7,5.51,7.74,6.54,10.79,6.34,6.74,6.73,3.54,3.54,338
335,GLAXO.NS,47.14,56.59,32.77,46.85,34.66,41.53,63.13,25.9,23.88,35.4,5.98,30.68,19.85,26.82,16.92,14.85,16.6,14.61,16.98,15.0,25.47,37.57,,,,,,,,,,,,,,,,,,,,,339
336,GLENMARK.NS,,,22.49,9.54,6.76,10.86,11.93,11.0,11.13,11.79,10.24,10.7,13.58,11.41,9.76,10.77,22.68,24.45,20.15,20.13,20.34,19.35,14.92,14.48,15.3,14.64,12.13,10.43,10.71,9.3,7.24,5.3,17.71,14.47,37.83,28.33,29.94,13.69,22.52,7.57,23.8,8.66,340
337,GLOBE.NS,8.34,14.58,4.58,9.45,6.59,15.27,5.45,12.09,3.6,10.45,4.01,13.04,5.23,15.66,5.65,17.15,7.63,20.44,7.49,7.24,,,,,,,,,,,,,,,,,,,,,,,341
338,GLOBOFFS.NS,-5.72,-4.48,-122.63,-2.33,78.33,-18.25,-130.31,-37.27,-15.72,-5.92,-51.14,-0.48,-37.48,-2.4,-57.6,-2.09,1.03,1.56,7.3,4.13,5.45,3.46,6.69,3.92,14.45,8.28,11.78,5.43,13.62,6.53,15.62,5.39,27.32,5.11,20.88,9.2,,,,,,,342
339,GLOBUSSPR.NS,2.51,6.45,9.95,10.18,13.78,17.5,24.24,29.86,20.23,30.44,12.64,15.72,7.45,10.87,1.85,6.99,4.33,5.82,3.44,2.19,1.99,1.55,1.52,1.01,12.29,8.0,16.53,12.05,19.14,15.74,17.91,15.3,21.63,15.26,26.98,19.14,33.94,23.54,31.1,25.11,2.06,1.48,343
340,GMDCLTD.NS,10.79,12.51,10.1,12.06,21.05,25.97,8.54,13.52,-1.01,1.1,3.57,4.34,3.23,12.31,9.73,10.98,8.19,9.65,7.12,5.93,15.43,12.92,15.34,12.22,23.7,18.47,23.79,17.98,22.46,17.73,19.91,14.88,18.98,11.96,24.85,13.52,11.26,4.67,4.51,1.74,13.46,5.41,344
341,GMMPFAUDLR.NS,5.38,9.78,6.79,11.77,13.97,16.99,21.35,25.59,26.61,29.51,22.91,29.11,18.66,27.99,15.27,14.87,15.82,15.55,12.98,12.76,13.41,13.13,12.23,11.87,8.98,8.6,8.91,8.48,11.22,10.81,12.02,11.45,11.93,11.29,19.39,18.3,17.39,16.39,19.9,18.53,14.29,13.21,345
342,GMRINFRA.NS,-0.35,0.91,-1.02,0.45,0.04,0.01,-2.98,-0.03,-13.16,-0.17,-12.3,2.21,-8.83,1.53,-3.43,1.35,-56.52,6.03,-16.12,-10.22,-4.16,-2.54,2.28,1.36,0.74,0.52,1.66,1.31,0.82,0.65,0.23,0.17,1.71,1.61,1.11,1.05,0.17,0.16,9.64,5.96,7.32,4.15,346
343,GNA.NS,,,12.47,17.61,18.22,24.92,14.91,20.51,13.64,17.59,11.8,15.09,16.39,23.14,14.9,22.03,9.96,18.24,18.76,14.08,19.14,12.03,14.48,7.58,6.13,3.62,22.97,16.45,,,,,,,,,,,,,,,347
344,GNFC.NS,6.92,8.35,5.91,7.0,16.25,18.79,21.56,24.81,11.51,13.19,9.55,6.57,14.83,12.66,17.71,21.06,13.71,10.8,8.48,4.33,-18.22,-8.12,9.92,4.69,10.05,5.61,11.31,7.87,11.65,8.55,5.95,4.75,11.29,9.97,20.2,17.87,20.78,17.85,25.03,20.81,23.49,17.29,348
345,GODFRYPHLP.NS,,,22.93,26.91,19.08,23.43,15.85,19.71,14.77,18.14,18.82,23.02,12.7,18.93,9.41,12.28,8.56,12.2,11.72,11.09,14.16,13.34,14.66,13.15,16.26,13.58,19.69,15.33,21.07,16.89,17.82,15.25,18.9,16.43,22.55,19.52,21.18,19.11,16.79,14.45,19.58,16.54,349
346,GODHA.NS,,,0.74,2.14,-5.9,-5.45,3.25,6.74,-1.54,0.12,0.9,7.61,1.46,8.1,7.71,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,350
347,GODREJAGRO.NS,19.52,26.53,15.8,21.79,14.58,19.99,18.34,24.36,15.88,20.15,18.59,22.72,14.94,21.98,14.8,22.66,23.04,32.91,22.93,20.34,32.57,26.18,28.32,19.45,23.23,17.2,37.77,33.43,,,7.55,5.48,21.75,11.36,17.29,9.63,3.26,1.05,10.9,3.39,24.01,14.73,351
348,GODREJCP.NS,16.14,24.87,6.77,26.49,16.12,20.05,18.83,21.57,19.25,25.26,23.01,27.94,35.62,30.69,21.54,27.14,19.38,24.5,19.34,19.33,19.34,19.29,18.67,18.61,18.5,16.83,23.94,21.71,28.36,27.94,29.98,29.63,30.08,26.99,98.41,51.8,119.16,60.35,159.15,143.12,179.7,150.91,352
349,GODREJIND.NS,,,-13.35,7.61,13.54,15.09,-2.97,7.94,-7.04,3.64,1.88,12.89,-6.16,16.77,13.4,10.9,-8.99,2.39,8.94,5.64,8.97,5.51,8.34,5.58,5.98,4.62,16.49,13.84,12.37,10.03,8.04,6.11,1.78,1.37,10.44,8.34,19.89,10.5,20.41,10.59,24.83,13.06,353
350,GODREJPROP.NS,5.79,8.49,5.36,8.28,6.59,10.66,5.66,9.0,-0.48,3.21,7.52,17.34,7.87,16.94,10.79,8.78,9.87,9.84,1.44,1.43,6.66,6.62,5.45,4.88,15.94,12.69,5.81,5.2,11.99,10.95,14.91,10.65,24.72,15.09,25.78,15.8,70.84,24.06,27.84,24.68,14.07,8.45,354
351,GOKEX.NS,8.91,12.04,12.23,15.62,19.97,23.11,16.44,19.09,8.99,15.12,14.15,18.7,10.69,26.33,-23.74,5.56,-27.92,-5.54,28.5,28.14,21.95,18.47,-5.94,-3.75,-91.59,-88.09,-58.29,-55.59,-23.84,-22.64,-0.41,-0.37,0.75,0.66,10.54,8.89,17.23,14.57,17.62,14.23,23.8,16.44,355
352,GOKUL.NS,23.41,34.36,15.96,25.27,18.95,26.95,25.33,35.52,13.4,31.67,6.42,31.23,2.44,34.05,6.3,33.03,10.21,36.77,8.28,7.06,2.24,9.62,,,,,,,,,,,,,,,,,,,,,356
353,GOKULAGRO.NS,23.41,34.36,15.96,25.27,18.95,26.95,25.33,35.52,13.4,31.67,6.42,31.23,2.44,34.05,6.3,33.03,10.21,36.77,8.28,7.06,2.24,9.62,,,,,,,,,,,,,,,,,,,,,357
354,GOLDIAM.NS,19.09,26.13,20.99,26.6,20.89,25.57,23.9,29.56,12.43,17.12,8.6,11.59,8.52,12.63,3.83,6.07,3.99,6.28,8.16,8.11,6.2,6.16,5.77,5.74,5.09,5.06,5.24,5.24,4.0,4.0,3.3,3.3,-8.79,-8.79,-0.05,-0.05,8.37,7.77,15.14,14.4,17.82,17.8,358
355,GPIL.NS,16.52,22.15,21.23,28.08,21.21,27.48,43.66,51.74,34.64,39.77,10.14,15.58,19.79,24.1,20.97,8.41,-11.31,-3.77,-8.37,-3.85,7.57,3.73,7.31,3.48,17.32,8.35,12.55,7.35,12.74,7.53,10.71,6.43,13.24,8.29,24.73,15.52,25.45,12.14,38.14,18.31,38.16,19.49,359
356,GPPL.NS,18.83,23.29,16.9,23.04,14.03,18.61,9.5,13.74,10.74,14.99,14.02,16.34,10.17,15.02,9.85,14.69,12.37,11.85,12.34,11.36,21.62,21.17,,,,,,,,,,,,,,,,,,,,-18.07,360
357,GPTINFRA.NS,17.05,23.88,20.95,33.36,13.84,25.22,10.97,23.56,9.89,24.75,8.69,27.99,4.71,24.08,9.94,28.92,7.65,26.51,6.6,5.81,0.75,0.7,1.88,1.79,6.64,5.97,9.68,8.76,13.82,12.52,34.88,16.11,24.99,11.45,14.37,5.29,22.6,5.66,3.13,0.46,,,361
358,GRANULES.NS,9.38,12.93,14.01,20.49,18.47,24.14,15.27,18.93,25.56,29.62,24.51,18.21,11.37,13.62,10.88,13.54,16.15,22.12,18.24,13.24,22.38,13.07,23.52,13.36,11.15,6.87,11.15,7.64,9.77,7.72,11.74,8.01,2.78,1.71,,,,,,,,,362
359,GRAPHITE.NS,8.09,9.95,16.3,2.5,7.54,10.21,12.79,16.46,4.97,6.77,0.82,0.47,60.29,91.17,35.11,33.88,6.06,6.08,4.63,4.45,4.68,4.37,9.84,8.87,9.91,8.72,15.23,13.3,12.27,11.23,19.61,16.63,19.08,14.69,19.14,13.28,32.62,20.02,13.86,7.79,11.58,8.25,363
360,GRASIM.NS,0.38,1.78,1.81,3.79,4.52,5.85,6.27,5.95,2.1,2.6,3.41,4.39,1.22,8.62,3.94,6.12,9.61,12.6,7.7,6.77,4.73,4.15,8.27,7.25,12.11,10.65,12.93,11.82,14.52,13.28,29.31,26.44,17.39,12.37,27.43,19.83,24.66,16.33,17.34,11.92,20.48,13.23,364
361,GRAVITA.NS,12.17,15.78,39.34,49.12,32.78,35.51,19.12,23.44,17.01,26.81,13.66,28.16,12.68,27.12,18.74,34.06,19.95,26.52,3.54,3.29,5.68,5.57,17.22,15.67,23.28,20.5,12.05,11.65,15.46,15.16,33.6,32.01,37.03,28.15,43.03,19.92,102.72,46.36,-345.41,168.7,,,365
362,GREAVESCOT.NS,12.77,16.84,21.63,16.84,11.0,14.48,2.91,3.52,1.14,6.3,16.6,21.18,17.46,26.87,21.09,20.5,19.61,19.2,23.34,22.43,9.99,9.63,13.89,13.03,18.69,17.38,28.74,26.38,24.38,21.91,,,,,,,,,,,,,366
363,GREENLAM.NS,,,13.94,17.81,13.14,15.41,13.5,14.92,11.97,16.36,18.87,20.47,15.63,20.12,16.54,22.2,14.08,21.19,15.25,9.25,11.72,6.78,-19.0,-19.0,,,,,,,,,,,,,,,,,,,367
364,GREENPLY.NS,12.67,16.46,12.91,16.1,17.37,21.77,17.48,23.5,14.1,19.57,9.13,28.56,18.49,28.28,14.82,9.04,17.16,12.38,21.55,16.53,25.17,17.99,19.62,12.43,23.92,14.67,14.39,7.72,7.77,3.89,18.25,7.9,20.73,9.21,26.35,14.71,21.05,11.82,22.82,7.93,15.04,6.56,368
365,GREENPOWER.NS,-1.81,0.67,-0.59,-0.34,0.42,0.64,-2.95,-0.46,-1.05,-0.23,3.83,4.27,-0.88,3.76,-17.73,0.66,-13.06,-11.62,-16.79,-12.81,-26.88,-18.55,-12.14,-8.52,-1.51,-1.1,-0.47,-0.41,0.45,0.4,-2.42,-2.21,-1.66,-1.66,-1.56,-1.56,,,,,,,369
366,GRINDWELL.NS,16.08,20.35,18.59,23.59,19.63,25.5,19.1,25.02,17.83,22.93,15.54,19.86,15.07,22.41,14.97,21.65,13.06,18.59,13.47,12.72,16.46,15.32,14.75,13.61,18.87,17.54,22.43,20.82,21.39,19.75,24.77,23.44,,,,,,,,,,,370
367,GRSE.NS,25.36,32.36,21.34,27.42,16.13,20.3,15.06,19.31,13.49,18.67,15.71,20.73,10.58,16.6,9.04,12.29,,,,,,,,,,,14.16,22.08,16.93,21.5,,,,,,,,,,,,,371
368,GRUH.NS,,,,,,,,,,,,,23.64,10.38,25.89,9.96,26.64,2.49,29.16,2.51,28.64,2.73,29.14,3.08,29.71,3.42,31.21,3.68,28.78,3.87,26.05,2.66,22.76,2.03,22.25,2.54,18.02,2.0,24.94,1.93,22.65,1.99,372
369,GSFC.NS,4.77,5.8,4.15,4.95,10.8,12.41,7.63,10.39,4.56,5.54,1.45,3.14,6.79,9.19,6.55,6.79,6.38,6.11,7.43,6.64,8.97,7.84,8.16,7.07,13.14,11.22,21.54,19.15,26.49,23.17,11.86,10.45,25.85,22.09,16.18,12.84,19.55,14.52,25.76,16.53,15.56,6.51,373
370,GSKCONS.NS,,,,,,,,,,,,,24.0,35.56,20.08,19.07,21.02,19.54,28.08,25.59,27.61,25.04,37.22,34.87,,,,,,,,,,,,,,,,,,,374
371,GSPL.NS,7.48,8.87,12.5,15.19,10.19,12.52,11.95,14.51,12.24,15.89,16.49,18.55,13.83,18.66,13.19,14.2,11.04,14.47,11.2,14.14,11.32,15.83,12.72,16.74,18.29,20.3,21.16,23.12,25.23,23.94,26.45,24.23,10.15,11.37,8.75,10.38,9.25,9.47,5.14,7.61,4.02,7.18,375
372,GTL.NS,0.0,-0.97,0.0,-3.06,0.0,11.36,0.0,3.7,0.0,36.52,0.0,-75.93,-122.89,-22.59,-72.84,1.2,0.0,3.57,0.0,-0.54,-115.36,-9.19,-55.87,-8.87,-41.77,-10.11,-29.26,-8.02,-8.5,-2.53,-0.14,-0.04,0.23,0.05,-7.06,-1.7,-7.26,-2.15,,,-2.02,-2.02,376
373,GTLINFRA.NS,0.0,-0.97,0.0,-3.06,0.0,11.36,0.0,3.7,0.0,36.52,0.0,-75.93,-122.89,-22.59,-72.84,1.2,0.0,3.57,0.0,-0.54,-115.36,-9.19,-55.87,-8.87,-41.77,-10.11,-29.26,-8.02,-8.5,-2.53,-0.14,-0.04,0.23,0.05,-7.06,-1.7,-7.26,-2.15,,,-2.02,-2.02,377
374,GTOFFSHORE.NS,,,,,,,,,,,,,,,,,,,-217.74,-47.43,-1.12,-0.52,11.98,4.16,6.16,1.81,7.88,2.52,8.94,3.49,16.96,5.34,30.54,8.02,27.53,11.17,22.7,10.32,33.62,18.04,,,378
375,GTPL.NS,5.27,8.92,8.43,12.7,8.21,13.59,16.22,21.31,17.61,25.37,6.93,26.91,2.17,14.54,8.91,14.8,10.24,14.67,3.3,7.34,4.84,2.9,-1.01,-0.54,,,,,,,,,,,,,,,,,,,379
376,GUFICBIO.NS,11.62,15.02,16.17,18.18,22.91,20.06,35.61,39.37,25.5,31.23,17.54,26.25,29.11,48.83,29.93,53.47,24.16,41.17,21.56,15.09,15.34,9.51,16.27,8.38,14.86,7.25,7.82,5.4,7.94,5.2,7.04,4.37,5.02,4.07,5.39,4.09,4.33,2.94,17.01,9.78,23.8,15.77,380
377,GUJALKALI.NS,0.26,0.81,-2.08,-2.0,9.12,11.48,9.51,11.51,3.1,3.83,7.23,9.42,16.05,20.62,13.99,17.02,9.17,9.79,7.5,6.2,10.66,8.76,9.42,7.35,12.98,9.86,9.55,6.96,7.72,5.77,12.35,9.01,15.44,11.0,20.77,15.68,20.99,14.61,27.37,14.6,26.62,11.58,381
378,GUJFLUORO.NS,-1.3,0.07,0.05,0.07,88.15,0.03,0.31,0.26,-10.03,-0.56,1.59,0.42,27.12,15.42,14.0,13.85,4.81,6.51,3.57,3.02,13.38,11.34,2.94,2.45,15.96,13.29,20.15,16.13,15.08,12.04,21.86,17.5,27.63,16.85,32.34,20.35,33.99,20.19,19.5,15.0,11.1,10.37,382
379,GUJGASLTD.NS,13.55,16.36,14.86,17.07,21.8,25.51,22.96,25.29,28.45,29.18,36.26,23.02,19.09,14.81,15.77,12.82,13.34,10.34,7.27,10.78,22.28,22.08,1.73,9.91,0.0,0.0,,,,,,,,,,,,,,,,,383
380,GUJNRECOKE.NS,,,,,,,,,,,,,,,,-6.7,-152.81,-33.64,-69.12,-27.32,-31.35,-10.17,-46.73,-17.67,1.8,1.08,0.19,0.12,6.64,4.04,3.8,2.01,9.37,4.79,15.19,9.19,10.14,4.23,63.29,29.85,,,384
381,GUJRATGAS.NS,13.55,16.36,14.86,17.07,21.8,25.51,22.96,25.29,28.45,29.18,36.26,23.02,19.09,14.81,15.77,12.82,13.34,10.34,7.27,10.78,22.28,22.08,1.73,9.91,0.0,0.0,,,,,,,,,,,,,,,,,385
382,GULFOILLUB.NS,24.73,34.53,23.79,33.0,19.71,28.56,20.24,27.18,23.01,31.69,26.6,36.55,30.29,47.49,33.92,52.06,33.19,52.6,40.36,39.35,41.37,40.23,-13.61,-0.03,3.32,3.32,3.34,3.34,0.71,0.71,2.44,2.44,,,,,,,,,,,386
383,GULPOLY.NS,4.04,7.64,2.98,4.48,7.88,9.21,15.92,19.94,17.08,25.51,6.74,11.86,7.37,12.45,6.67,10.0,10.55,10.93,13.16,9.06,12.77,10.15,15.85,11.66,16.37,13.75,14.15,10.8,14.71,11.12,13.59,9.31,18.34,12.07,43.22,17.23,40.9,11.47,27.44,5.31,21.69,3.37,387
384,GVKPIL.NS,-0.03,0.04,-2.09,-1.64,0.74,0.77,6.44,6.36,-25.44,-24.87,-81.44,-77.92,6.17,2.43,-2.08,-0.06,-15.33,-11.31,-5.84,-5.84,-5.52,-5.52,-0.94,-0.84,-0.96,-0.84,-0.32,-0.32,2.69,2.69,0.87,0.84,1.2,1.2,5.28,5.28,4.22,3.52,1.96,1.96,33.02,2.01,388
385,HAL.NS,23.86,17.45,26.14,24.55,24.72,18.05,26.4,15.88,21.05,17.17,21.47,18.74,19.42,17.39,17.2,13.99,20.86,13.85,18.13,13.43,6.74,3.67,17.62,11.15,24.94,14.99,22.39,10.5,21.69,9.11,,,,,,,,,,,,,389
386,HAPPSTMNDS.NS,10.86,16.59,16.67,22.06,26.19,30.46,27.84,34.81,29.62,30.3,32.02,31.86,-4.57,-247.91,-8.68,-3.1,2.6,4.59,,,,,,,,,,,,,,,,,,,,,,,,,390
387,HATHWAY.NS,1.68,2.41,1.86,2.51,1.41,1.93,1.05,1.47,2.5,3.69,0.38,5.24,4.89,2.54,7.36,9.03,-15.85,-2.58,-16.95,-8.43,-14.82,-9.33,-13.55,-7.21,0.39,0.24,-6.5,-5.03,-4.76,-3.76,-9.44,-6.91,-39.9,-13.69,-15.47,-8.84,-98.82,-43.67,-6.87,-5.28,-6.3,-5.07,391
388,HATSUN.NS,16.55,18.6,17.0,17.69,11.51,13.7,19.65,19.81,24.11,26.66,12.41,14.92,14.27,18.32,24.85,22.03,38.83,32.41,26.22,12.4,17.68,7.36,45.53,18.02,34.47,12.37,24.69,29.26,20.2,8.61,5.02,0.92,22.93,5.38,40.21,12.9,26.28,6.98,16.65,3.61,3.19,0.65,392
