Stock,Sector,Industry,Index Satisfied,5 Day Avg Volume (Cr),1_Year_Return,Nifty_Return(1Y),Difference_wrt_Nifty,F3,1_day_return,prev_close
TATAMOTORS.NS,Consumer Cyclical,Auto - Manufacturers,"['NIFTY 50', 'NIFTY100 ESG SECTOR LEADERS', 'NIFTY GROWTH SECTORS 15', 'NIFTY100 LIQUID 15', 'NIFTY100 QUALITY 30', 'NIFTY 200', 'NIFTY MIDCAP SELECT', 'NIFTY COMMODITIES', 'NIFTY 500', 'NIFTY HOUSING', 'NIFTY500 VALUE 50', 'NIFTY 100', 'NIFTY TOTAL MARKET']",1318.3380000000002,57.3,34.45,22.849999999999994,0,-0.97,965.2
BLS.NS,Industrials,Specialty Business Services,['NIFTY FMCG'],90.422,55.56,34.45,21.11,0,2.1,374.95
PRICOLLTD.NS,Consumer Cyclical,Auto - Parts,"['NIFTY MIDCAP150 QUALITY 50', 'NIFTY COMMODITIES', 'NIFTY100 EQUAL WEIGHT', 'NIFTY LARGEMIDCAP 250', 'NIFTY 500', 'NIFTY MIDCAP 100', 'NIFTY500 MULTICAP 50:25:25', 'NIFTY TOTAL MARKET']",12.959999999999999,43.89,34.45,9.439999999999998,0,-1.22,472.55
ELECTCAST.NS,Basic Materials,Steel,"['NIFTY INFRASTRUCTURE', 'NIFTY100 LOW VOLATILITY 30', 'NIFTY LOW VOLATILITY 50', 'NIFTY ALPHA LOW-VOLATILITY 30', 'NIFTY 200', 'NIFTY MIDSMALL FINANCIAL SERVICES', 'NIFTY SHARIAH 25', 'NIFTY MIDCAP SELECT', 'NIFTY COMMODITIES', 'NIFTY100 EQUAL WEIGHT', 'NIFTY 500', 'NIFTY ALPHA QUALITY LOW-VOLATILITY 30', 'NIFTY DIVIDEND OPPORTUNITIES 50', 'NIFTY500 SHARIAH']",22.022,187.53,34.45,153.07999999999998,0,0.62,212.77
JWL.NS,Industrials,Railroads,"['NIFTY 200', 'NIFTY50 EQUAL WEIGHT', 'NIFTY DIVIDEND OPPORTUNITIES 50']",33.196000000000005,61.59,34.45,27.14,0,0.24,514.35
WELENT.NS,Industrials,Engineering & Construction,['NIFTY PSE'],24.09,103.04,34.45,68.59,0,1.93,568.5
JAICORPLTD.NS,Basic Materials,Chemicals - Specialty,"['NIFTY GROWTH SECTORS 15', 'NIFTY REITS & INVITS']",33.028,72.42,34.45,37.97,0,-0.89,366.05
SCHNEIDER.NS,Industrials,Industrial - Machinery,"['NIFTY 50', 'NIFTY100 LOW VOLATILITY 30', 'NIFTY REITS & INVITS', 'NIFTY ENERGY']",37.75,129.15,34.45,94.7,0,0.01,816.1
SUNPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic,"['NIFTY QUALITY LOW-VOLATILITY 30', 'NIFTY100 LOW VOLATILITY 30', 'NIFTY SHARIAH 25', 'NIFTY200 QUALITY 30']",426.8759999999999,70.84,34.45,36.39,0,-0.35,1919.95
PATELENG.NS,Industrials,Engineering & Construction,['NIFTY MEDIA'],21.344,13.67,34.45,-20.78,0,-0.19,56.89
TITAGARH.NS,Industrials,Railroads,"['NIFTY ALPHA LOW-VOLATILITY 30', 'NIFTY100 ENHANCED ESG', 'NIFTY50 EQUAL WEIGHT']",93.87,53.15,34.45,18.699999999999996,0,-2.72,1188.6
KPITTECH.NS,Technology,Information Technology Services,['NIFTY MNC'],126.43400000000001,46.97,34.45,12.519999999999996,0,2.73,1672.5
ECLERX.NS,Technology,Information Technology Services,"['NIFTY QUALITY LOW-VOLATILITY 30', 'NIFTY50 SHARIAH', 'NIFTY50 VALUE 20', 'NIFTY SHARIAH 25', 'NIFTY200 QUALITY 30']",221.012,65.83,34.45,31.379999999999995,0,2.37,3079.2
HBLPOWER.NS,Industrials,Electrical Equipment & Parts,"['NIFTY100 LIQUID 15', 'NIFTY REITS & INVITS', 'NIFTY SERVICES SECTOR']",64.644,126.48,34.45,92.03,0,4.17,629.15
TATACONSUM.NS,Consumer Defensive,Packaged Foods,['NIFTY SHARIAH 25'],217.60399999999998,38.33,34.45,3.8799999999999955,0,-0.06,1196.25
JINDALSTEL.NS,Basic Materials,Steel,"['NIFTY 50', 'NIFTY100 ESG SECTOR LEADERS', 'NIFTY LOW VOLATILITY 50', 'NIFTY100 ENHANCED ESG', 'NIFTY100 LIQUID 15', 'NIFTY100 ESG', 'NIFTY DIVIDEND OPPORTUNITIES 50']",265.728,52.53,34.45,18.08,0,-0.41,1035.35
RELINFRA.NS,Utilities,Regulated Electric,['NIFTY DIVIDEND OPPORTUNITIES 50'],505.20199999999994,94.84,34.45,60.39,0,-1.23,332.0
NTPC.NS,Utilities,Independent Power Producers,['NIFTY CPSE'],1140.63,90.24,34.45,55.78999999999999,0,-0.7,440.1
