,Ticker,Revenue_Mar 24,Revenue_Mar 23,Revenue_Mar 22,Revenue_Mar 21,Revenue_Mar 20,Revenue_Mar 19,Revenue_Mar 18,Revenue_Mar 17,Revenue_Mar 16,Revenue_Mar 15,Revenue_Mar 14,Revenue_Mar 13,Revenue_Mar 12,Revenue_Mar 11,Revenue_Mar 10,Revenue_Mar 09,Revenue_Mar 08,Revenue_Mar 07,Revenue_Mar 06,Revenue_Mar 05
1346,VOLTAMP.NS,1597.52,1369.07,1114.16,684.3,848.64,819.23,631.62,603.86,556.78,510.9,439.63,509.53,563.21,529.14,535.69,635.62,548.87,401.1,245.63,172.36
1347,VOLTAS.NS,262.62,232.01,214.59,192.8,217.83,202.33,175.6,163.55,156.84,156.28,155.75,168.27,156.31,155.66,137.32,121.95,92.06,72.59,560.49,419.5
1348,VRLLOG.NS,330.25,299.8,270.95,199.55,234.5,233.5,212.78,197.61,188.78,195.38,174.64,187.48,159.88,125.71,100.61,90.81,,,,
1349,VSTIND.NS,919.88,836.97,762.97,719.46,802.59,711.71,613.64,597.32,571.92,541.49,511.06,433.03,443.23,376.6,304.72,240.29,219.47,215.54,202.34,199.4
1350,VSTTILLERS.NS,1120.49,1164.91,988.32,884.59,629.29,711.61,883.72,781.69,748.5,638.46,722.51,557.51,614.2,494.53,400.21,478.72,329.57,283.63,226.6,193.12
1351,VTL.NS,321.59,340.39,324.95,1005.5,1099.64,1115.97,1018.85,1017.42,904.62,902.1,812.44,653.51,615.54,566.65,474.88,425.26,397.24,362.76,328.05,719.57
1352,WABAG.NS,404.79,373.84,344.47,296.32,319.25,319.58,339.68,329.68,277.69,227.14,433.17,398.18,378.67,694.56,749.17,685.36,400.9,325.25,336.92,
1353,WABCOINDIA.NS,1994.83,1816.04,1340.89,982.46,1017.29,1517.15,1361.38,1098.07,973.52,710.67,585.58,509.25,551.28,470.55,313.69,226.18,283.27,0.0,,
1354,WALCHANNAG.NS,54.58,70.1,78.63,85.58,78.33,95.68,104.71,104.58,210.7,,,,,,,,,,,
1355,WEBELSOLAR.NS,6.13,4.44,58.19,49.32,63.91,23.62,68.7,134.75,127.29,161.9,138.65,51.98,,76.98,,176.79,129.81,164.09,104.64,85.18
1356,WELCORP.NS,347.08,264.46,202.64,202.59,163.04,155.96,196.63,163.85,142.72,188.05,185.12,252.22,253.3,306.37,323.56,313.47,224.64,191.57,142.01,96.99
1357,WELENT.NS,179.51,178.45,87.26,94.73,118.55,117.46,67.59,19.8,10.62,10.63,50.74,93.79,73.86,58.54,183.92,160.34,106.97,52.24,51.78,64.54
1358,WELSPUNIND.NS,83.19,57.23,67.84,59.28,52.99,53.7,49.53,56.13,48.62,438.74,351.9,304.21,291.03,230.31,249.74,184.26,170.59,136.41,89.83,84.38
1359,WELSPUNLIV.NS,83.19,57.23,67.84,59.28,52.99,53.7,49.53,56.13,48.62,438.74,351.9,304.21,291.03,230.31,249.74,184.26,170.59,136.41,89.83,84.38
1360,WESTLIFE.NS,4.01,0.04,0.03,0.03,0.03,0.0,0.0,0.01,0.02,0.02,0.12,1.3,0.76,0.08,0.16,0.84,80.72,133.63,281.59,47.81
1361,WHEELS.NS,1885.84,1800.54,1532.29,919.26,1009.38,1322.12,2045.09,1806.21,1676.03,1645.78,1515.22,1949.97,2105.04,1723.11,1263.64,1153.07,1158.64,1022.38,864.02,796.69
1362,WHIRLPOOL.NS,499.15,489.5,472.4,465.03,472.34,425.45,380.86,310.61,271.14,259.62,223.43,218.55,209.5,213.03,200.28,153.17,141.93,116.67,98.97,78.61
1363,WILLAMAGOR.NS,2.64,2.79,23.7,18.43,36.05,38.91,44.3,47.35,31.65,32.7,24.83,20.59,25.17,17.72,15.82,17.07,11.11,1.01,0.85,0.62
1364,WINPRO.NS,0.0,0.0,0.0,14.38,18.52,6.69,6.47,9.09,10.05,9.2,8.98,9.93,5.69,61.9,,2.64,0.42,2.08,4.74,
1365,WIPRO.NS,127.83,123.46,108.67,91.8,88.22,79.75,98.83,189.46,180.86,166.94,157.17,134.9,128.87,107.17,156.14,146.81,119.69,93.79,71.73,102.81
1366,WOCKPHARMA.NS,74.94,74.44,95.28,89.12,80.37,194.25,223.91,207.85,201.33,171.38,164.47,225.51,233.95,160.35,170.76,,,,,
1367,WONDERLA.NS,85.38,75.89,22.56,6.8,47.93,49.91,47.87,46.52,36.35,32.19,36.58,32.82,26.94,21.34,16.4,23.98,,,,
1368,WSTCSTPAPR.NS,397.14,425.49,300.57,207.18,300.15,299.7,258.93,267.88,257.39,249.57,236.54,220.24,208.0,170.67,99.56,102.6,101.75,620.98,592.54,518.77
1369,XCHANGING.NS,3.31,3.42,3.94,3.68,3.83,4.67,5.02,8.89,,,,,,,,,16.01,16.26,54.74,
1370,YAARI.NS,0.0,0.01,0.08,0.01,0.01,0.0,0.2,1.15,2.63,7.33,8.54,1.47,10.04,16.16,0.0,0.0,0.0,,,
1371,YATHARTH.NS,48.9,,,,,,,,,,,,,,,,,,,
1372,ZEEL.NS,84.06,77.23,78.16,69.36,75.97,71.44,60.37,52.34,43.82,35.69,32.04,26.9,22.98,22.19,29.46,27.89,24.03,20.01,20.15,15.68
1373,ZEELEARN.NS,7.75,5.84,3.19,2.77,5.96,6.43,5.72,4.97,4.34,3.8,3.73,3.81,2.32,3.48,,,,,,
1374,ZEEMEDIA.NS,7.32,8.27,10.47,12.17,11.88,12.9,10.84,8.45,8.15,10.5,12.72,11.13,11.4,10.14,21.18,21.16,14.94,9.83,27.02,
1375,ZENITHSTL.NS,10.07,11.53,10.27,4.55,4.7,10.58,9.79,6.54,5.72,5.06,10.95,20.81,35.14,37.65,89.29,145.89,115.6,93.76,181.21,390.57
1376,ZENSARTECH.NS,89.15,80.5,72.08,60.36,60.79,60.84,285.8,283.57,279.16,243.63,210.61,192.21,164.19,133.39,230.39,176.03,140.15,116.34,97.75,75.55
1377,ZENTEC.NS,51.2,20.3,6.75,6.23,19.05,11.95,5.05,8.03,6.82,10.18,60.07,41.75,114.56,19.59,58.77,73.74,33.03,29.12,26.27,24.92
1378,ZFCVINDIA.NS,1994.83,1816.04,1340.89,982.46,1017.29,1517.15,1361.38,1098.07,973.52,710.67,585.58,509.25,551.28,470.55,313.69,226.18,283.27,0.0,,
1379,ZOMATO.NS,7.63,5.63,4.72,55286.9,77878.3,38638.03,12367.67,,,2691.2,1048.7,432.02,0.0,,,,,,,
1380,ZOTA.NS,64.45,54.99,52.28,43.5,38.73,48.81,44.38,49.84,45.07,39.31,41.87,36.68,38.24,37.67,,,,,,
1381,ZUARI.NS,239.96,272.64,207.34,4.6,19.42,0.84,5.63,0.0,0.0,13.42,57.68,33.81,422.59,1876.25,1452.92,2068.74,889.21,814.15,744.4,603.26
1382,ZYDUSLIFE.NS,107.54,86.28,77.95,75.98,61.99,58.96,56.74,31.55,68.67,258.03,197.37,179.48,153.85,142.59,138.24,127.82,133.9,115.47,203.28,173.57
1383,ZYDUSWELL.NS,38.49,39.52,33.99,17.89,26.61,44.16,67.61,57.64,53.27,56.08,52.02,54.52,64.91,86.09,68.47,49.84,101.04,76.6,55.45,55.73
