Stock,Sector,Industry,Index Satisfied,5 Day Avg Volume (Cr),1_Year_Return,Nifty_Return(1Y),Difference_wrt_Nifty,F3,1_day_return,prev_close
JPPOWER.NS,Utilities,Independent Power Producers,"['NIFTY INDIA CONSUMPTION', 'NIFTY SHARIAH 25', 'NIFTY200 QUALITY 30']",131.968,105.1,33.75,71.35,0,4.96,20.1
TEJASNET.NS,Technology,Communication Equipment,['NIFTY100 LIQUID 15'],28.841999999999995,29.43,33.75,-4.32,0,-2.84,1149.9
SUNPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic,['NIFTY QUALITY LOW-VOLATILITY 30'],486.322,70.75,33.75,37.0,0,-0.47,1910.85
DLF.NS,Real Estate,Real Estate - Development,"['NIFTY SMALLCAP 100', 'NIFTY FINANCIAL SERVICES EX-BANK']",374.72999999999996,64.73,33.75,30.980000000000004,0,-5.35,864.85
ACE.NS,Industrials,Agricultural - Machinery,['NIFTY100 LIQUID 15'],27.338,98.64,33.75,64.89,0,-1.52,1370.6
RTNPOWER.NS,Utilities,Renewable Utilities,"['NIFTY INFRASTRUCTURE', 'NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30', 'NIFTY PSE', 'NIFTY100 QUALITY 30', 'NIFTY SHARIAH 25', 'NIFTY COMMODITIES', 'NIFTY100 EQUAL WEIGHT', 'NIFTY LARGEMIDCAP 250', 'NIFTY ALPHA QUALITY LOW-VOLATILITY 30', 'NIFTY500 MULTICAP 50:25:25', 'NIFTY200 QUALITY 30']",63.45799999999999,147.65,33.75,113.9,0,4.86,16.84
RCF.NS,Basic Materials,Agricultural Inputs,['NIFTY MEDIA'],38.379999999999995,45.95,33.75,12.200000000000003,0,-2.81,180.83
TATAMTRDVR.NS,Consumer Cyclical,Auto - Manufacturers,"['NIFTY 50', 'NIFTY INFRASTRUCTURE', 'NIFTY100 ESG SECTOR LEADERS', 'NIFTY CONSUMER DURABLES', 'NIFTY100 ENHANCED ESG', 'NIFTY100 LIQUID 15', 'NIFTY100 ESG', 'NIFTY SMALLCAP 100', 'NIFTY NEXT 50', 'NIFTY CORE HOUSING', 'NIFTY100 QUALITY 30', 'NIFTY 200', 'NIFTY FINANCIAL SERVICES 25/50', 'NIFTY50 VALUE 20', 'NIFTY MIDCAP SELECT', 'NIFTY50 EQUAL WEIGHT', 'NIFTY OIL & GAS', 'NIFTY COMMODITIES', 'NIFTY100 EQUAL WEIGHT', 'NIFTY LARGEMIDCAP 250', 'NIFTY 500', 'NIFTY HOUSING', 'NIFTY500 VALUE 50', 'NIFTY SMALLCAP 250', 'NIFTY FINANCIAL SERVICES EX-BANK', 'NIFTY 100', 'NIFTY MIDCAP 100', 'NIFTY DIVIDEND OPPORTUNITIES 50', 'NIFTY500 MULTICAP 50:25:25', 'NIFTY TOTAL MARKET']",0.0,85.78,33.75,52.03,0,0.0,768.65
JWL.NS,Industrials,Railroads,"['NIFTY MIDCAP LIQUID 15', 'NIFTY MIDCAP SELECT', 'NIFTY MIDCAP 50']",32.344,58.63,33.75,24.880000000000003,0,-3.34,497.15
ELECTCAST.NS,Basic Materials,Steel,"['NIFTY LOW VOLATILITY 50', 'NIFTY ALPHA LOW-VOLATILITY 30', 'NIFTY SHARIAH 25', 'NIFTY HEALTHCARE INDEX']",24.61,176.65,33.75,142.9,0,-3.39,205.55
SARDAEN.NS,Basic Materials,Steel,"['NIFTY 50', 'NIFTY MIDCAP150 QUALITY 50', 'NIFTY MIDSMALL INDIA CONSUMPTION', 'NIFTY MNC', 'NIFTY100 ESG SECTOR LEADERS', 'NIFTY MIDCAP 150', 'NIFTY LOW VOLATILITY 50', 'NIFTY CPSE', 'NIFTY200 ALPHA 30', 'NIFTY100 ENHANCED ESG', 'NIFTY100 LIQUID 15', 'NIFTY100 ESG', 'NIFTY SMALLCAP 100', 'NIFTY NEXT 50', 'NIFTY CORE HOUSING', 'NIFTY MIDCAP LIQUID 15', 'NIFTY MIDCAP150 MOMENTUM 50', 'NIFTY SMALLCAP250 QUALITY 50', 'NIFTY 200', 'NIFTY MIDSMALL FINANCIAL SERVICES', 'NIFTY MIDCAP SELECT', 'NIFTY50 EQUAL WEIGHT', 'NIFTY MICROCAP 250', 'NIFTY COMMODITIES', 'NIFTY SMALLCAP 50', 'NIFTY100 EQUAL WEIGHT', 'NIFTY MIDSMALLCAP 400', 'NIFTY LARGEMIDCAP 250', 'NIFTY 500', 'NIFTY HOUSING', 'NIFTY500 VALUE 50', 'NIFTY MIDCAP 50', 'NIFTY SMALLCAP 250', 'NIFTY SERVICES SECTOR', 'NIFTY 100', 'NIFTY MIDCAP 100', 'NIFTY INDIA MANUFACTURING', 'NIFTY DIVIDEND OPPORTUNITIES 50', 'NIFTY500 MULTICAP 50:25:25', 'NIFTY TOTAL MARKET']",65.172,127.7,33.75,93.95,0,9.02,491.95
BHARATFORG.NS,Consumer Cyclical,Auto - Parts,['NIFTY 50'],170.84,39.51,33.75,5.759999999999998,0,-2.68,1489.25
ECLERX.NS,Technology,Information Technology Services,"['NIFTY50 SHARIAH', 'NIFTY500 SHARIAH']",84.56,48.41,33.75,14.659999999999997,0,-2.53,3001.3
TATAPOWER.NS,Utilities,Independent Power Producers,"['NIFTY CONSUMER DURABLES', 'NIFTY GROWTH SECTORS 15', 'NIFTY100 LIQUID 15', 'NIFTY HOUSING', 'NIFTY FINANCIAL SERVICES EX-BANK']",942.124,83.01,33.75,49.260000000000005,0,-1.96,471.8
SCHNEIDER.NS,Industrials,Industrial - Machinery,"['NIFTY ALPHA LOW-VOLATILITY 30', 'NIFTY GROWTH SECTORS 15', 'NIFTY REITS & INVITS']",20.928,124.36,33.75,90.61,0,-3.49,787.6
