Date,Open,High,Low,Close,Adj Close,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-12-19,83.0,83.08899689,82.77999878,82.89099884,82.89099884,126700.0,,,,,,
2016-12-20,82.90000153,83.00499725,82.41100311,82.62000275,82.62000275,174130.0,,,,,,
2016-12-21,82.6969986,82.90000153,82.41000366,82.52700043,82.52700043,145530.0,,,,,,
2016-12-22,82.5,82.5,81.43099976,81.58999634,81.58999634,415980.0,,,,,,
2016-12-23,81.7009964,82.01899719,81.22499847,81.64600372,81.64600372,177350.0,,,,,,
2016-12-26,81.41799927,81.54000092,80.65499878,80.78199768,80.78199768,513790.0,,,,,,
2016-12-27,80.75,82.02100372,80.71099854,81.86399841,81.86399841,495670.0,,,,,,
2016-12-28,81.9240036,82.47499847,81.80000305,81.85700226,81.85700226,223740.0,,,,,,
2016-12-29,81.90000153,82.68900299,81.81999969,82.58100128,82.58100128,246990.0,,,,,,
2016-12-30,82.51399994,83.58499908,82.51399994,83.48899841,83.48899841,370010.0,,,,,,
2017-01-02,84.0,84.0,83.04000092,83.51100159,83.51100159,201710.0,,,,,,
2017-01-03,83.59999847,83.88999939,83.19999695,83.61199951,83.61199951,205840.0,,,,,,
2017-01-04,83.69999695,83.86000061,83.33300018,83.58000183,83.58000183,334850.0,,,,,,
2017-01-05,84.09999847,84.49500275,83.81199646,84.38999939,84.38999939,429990.0,,,,,,
2017-01-06,86.19999695,86.19999695,84.11100006,84.23200226,84.23200226,348390.0,,,,,,
2017-01-09,84.19999695,84.35299683,84.01499939,84.1289978,84.1289978,229130.0,,,,,,
2017-01-10,84.38800049,84.55000305,84.28800201,84.4469986,84.4469986,277330.0,,,,,,
2017-01-11,84.5,85.47000122,84.5,85.43000031,85.43000031,414290.0,,,,,,
2017-01-12,85.5,85.69999695,85.40100098,85.66500092,85.66500092,515700.0,,,,,,
2017-01-13,85.89800262,85.95800018,85.3690033,85.60099792,85.60099792,321180.0,,,,,,
2017-01-16,85.5,85.88400269,85.34999847,85.76699829,85.76699829,304520.0,,,,,,
2017-01-17,86.19999695,86.19999695,85.40000153,85.55999756,85.55999756,223530.0,,,,,,
2017-01-18,85.69999695,86.15000153,85.55999756,85.7480011,85.7480011,238900.0,,,,,,
2017-01-19,86.0,86.05000305,85.59999847,85.9509964,85.9509964,159350.0,,,,,,
2017-01-20,86.09999847,86.09999847,85.01000214,85.10299683,85.10299683,204970.0,,,,,,
2017-01-23,85.05000305,85.69000244,84.94499969,85.45700073,85.45700073,411750.0,,,,,,
2017-01-24,85.65000153,86.31999969,85.65000153,86.28199768,86.28199768,663630.0,,,,,,
2017-01-25,86.40000153,87.59999847,86.40000153,87.45899963,87.45899963,880830.0,,,,,,
2017-01-27,87.33699799,88.35900116,87.33699799,87.98799896,87.98799896,489820.0,,,,,,
2017-01-30,83.0,88.16999817,83.0,87.94000244,87.94000244,318520.0,,,,,,
2017-01-31,88.0,88.0,87.15000153,87.22799683,87.22799683,277660.0,,,,,,
2017-02-01,87.5,88.87000275,87.04000092,88.72799683,88.72799683,564670.0,,,,,,
